tag,3yrs_treynor_ratio_fund,3_years_alpha_fund,3years_category_std,3yrs_sharpe_ratio_fund,3yrs_treynor_ratio_category,3_years_return_mean_annual_fund,fund_beta_3years,3years_fund_r_squared,3years_fund_std,category_beta_3years,fund_return_3years,3_years_alpha_category,3_years_return_mean_annual_category,3yrs_sharpe_ratio_category,3years_category_r_squared,3_years_return_category
94301,9.04,2.54,0.13,0.76,0.08,0.97,1.1,74.56,13.52,0.01,11.27,0.01,0.01,0.01,0.67,9.11
111977,11.13,1.5,0.12,0.94,0.05,1.01,0.98,92.44,11.57,0.01,12.1,0.0,0.01,0.01,0.81,8.05
140831,12.52,0.28,0.11,1.09,0.11,0.99,0.86,90.88,9.71,0.01,12.08,-0.01,0.01,0.01,0.92,11.84
157058,5.16,-1.53,0.12,0.49,0.05,0.65,1.14,83.56,13.21,0.01,7.19,-0.01,0.01,0.0,0.83,6.7
249821,6.64,-0.09,0.07,1.01,0.06,0.68,1.05,89.61,6.8,0.01,8.26,-0.01,0.01,0.01,0.89,7.44
233540,29.78,6.15,0.04,1.31,0.3,0.63,0.22,1.76,4.77,0.0,7.76,0.05,0.01,0.01,0.04,6.97
32894,-0.65,-1.78,0.05,-0.1,0.01,0.05,1.43,36.58,6.94,0.01,0.36,0.0,0.0,0.0,0.42,2.17
126566,0.16,-9.85,0.08,0.06,0.08,0.16,0.88,79.76,10.51,0.01,1.43,-0.03,0.0,0.0,0.55,4.36
110186,12.26,0.06,0.11,1.1,0.11,1.07,0.95,96.31,10.44,0.01,12.99,-0.01,0.01,0.01,0.92,11.84
98054,2.5,-2.88,0.13,0.22,0.08,0.3,0.74,57.58,10.27,0.01,3.13,0.01,0.01,0.01,0.67,9.11
173384,6.75,0.07,0.07,0.88,0.05,0.59,0.86,63.87,6.58,0.01,7.08,-0.02,0.01,0.01,0.82,6.14
161378,11.6,-0.54,0.13,1.03,0.13,1.16,1.1,92.07,12.29,0.01,14.03,0.01,0.01,0.01,0.84,15.35
83186,6.4,-0.44,0.09,1.01,0.05,0.85,1.4,95.55,8.75,0.01,10.23,-0.02,0.01,0.01,0.87,8.38
175769,4.65,-7.98,0.16,0.41,0.06,0.68,1.24,63.33,16.69,0.01,7.05,-0.06,0.01,0.0,0.6,8.3
180116,6.42,-0.09,0.05,0.65,0.03,0.38,0.5,37.83,4.9,0.01,4.5,-0.02,0.0,0.0,0.5,2.79
184598,3.82,-2.71,0.07,0.57,0.05,0.43,1.0,79.96,6.8,0.01,5.1,-0.02,0.01,0.01,0.82,6.14
30995,7.66,-4.81,0.11,0.68,0.09,0.95,1.24,80.47,14.77,0.01,10.76,-0.02,0.01,0.01,0.84,10.01
204164,6.48,-0.23,0.06,1.03,0.06,0.61,0.93,97.07,5.78,0.01,7.34,-0.01,0.01,0.01,0.97,7.51
190097,11.36,-0.72,0.11,1.01,0.09,1.06,1.01,92.06,11.29,0.01,12.78,-0.02,0.01,0.01,0.84,10.01
167417,5.91,-0.94,0.09,0.93,0.05,0.71,1.23,94.61,7.76,0.01,8.59,-0.02,0.01,0.01,0.87,8.38
103589,5.35,-1.12,0.05,0.82,0.05,0.49,0.86,88.15,5.58,0.01,5.87,-0.01,0.0,0.01,0.88,5.53
242630,9.29,-2.75,0.16,0.78,0.12,1.03,1.15,75.09,14.21,0.01,11.94,-0.0,0.01,0.01,0.7,15.88
75644,5.66,-0.82,0.13,0.49,0.08,0.61,0.97,69.12,12.35,0.01,6.79,0.01,0.01,0.01,0.67,9.11
196613,7.44,0.66,0.12,0.69,0.05,0.75,1.0,90.11,11.1,0.01,8.71,0.0,0.01,0.01,0.81,8.05
81188,9.61,-2.42,0.11,0.85,0.11,0.98,1.08,88.22,12.29,0.01,11.64,-0.01,0.01,0.01,0.92,11.84
48608,5.54,-0.88,0.05,0.88,0.05,0.46,0.77,96.24,4.79,0.01,5.55,-0.01,0.0,0.01,0.88,5.53
47744,8.3,-3.64,0.13,0.76,0.13,0.86,1.05,89.99,11.92,0.01,10.02,0.01,0.01,0.01,0.84,15.35
174869,10.71,3.35,0.13,0.94,0.08,0.93,0.92,86.76,10.4,0.01,11.11,0.01,0.01,0.01,0.67,9.11
129257,,,0.05,,0.03,,,,,0.01,0.0,-0.02,0.0,0.0,0.5,2.79
107072,10.25,3.92,0.13,0.82,0.08,1.1,1.14,68.79,14.47,0.01,12.93,0.01,0.01,0.01,0.67,9.11
87416,6.97,-5.22,0.13,0.6,0.07,0.83,1.16,74.81,14.39,0.01,9.37,-0.05,0.01,0.01,0.78,8.55
58238,6.8,-3.92,0.13,0.6,0.13,0.65,1.05,78.56,12.83,0.01,7.25,0.01,0.01,0.01,0.84,15.35
152936,10.8,3.87,0.13,0.91,0.08,1.03,1.02,78.38,12.12,0.01,12.26,0.01,0.01,0.01,0.67,9.11
83636,1.21,0.61,0.05,0.34,0.01,0.24,1.21,61.53,4.55,0.01,2.75,0.0,0.0,0.0,0.42,2.17
84365,5.88,-1.07,0.09,0.93,0.05,0.77,1.35,94.21,8.5,0.01,9.21,-0.02,0.01,0.01,0.87,8.38
29663,12.74,0.47,0.13,1.12,0.13,1.08,0.93,92.38,10.37,0.01,13.13,0.01,0.01,0.01,0.84,15.35
59219,1.15,-0.28,0.04,0.34,0.01,0.22,1.08,97.97,3.78,0.01,2.53,-0.0,0.0,0.0,0.94,2.55
236798,7.43,0.66,0.07,1.16,0.06,0.74,1.04,96.18,6.52,0.01,9.06,-0.01,0.01,0.01,0.89,7.44
190034,4.63,-1.95,0.12,0.44,0.05,0.55,1.03,80.98,12.12,0.01,6.06,-0.02,0.01,0.0,0.8,5.79
251387,1.9,-5.22,0.13,0.23,0.06,0.36,1.17,86.38,13.32,0.01,3.51,-0.01,0.01,0.01,0.75,7.52
123974,3.77,-2.77,0.11,0.38,0.05,0.46,0.99,90.76,10.96,0.01,5.02,-0.02,0.01,0.0,0.85,5.92
101519,7.31,-4.94,0.13,0.66,0.08,0.85,1.16,84.08,13.52,0.01,9.74,-0.04,0.01,0.01,0.81,9.67
44180,5.79,-0.52,0.13,0.46,0.08,0.65,1.0,55.61,14.15,0.01,7.07,0.01,0.01,0.01,0.67,9.11
185390,8.39,1.52,0.11,0.74,0.1,0.8,0.96,81.62,11.22,0.01,9.33,0.03,0.01,0.01,0.73,9.96
122435,7.3,1.01,0.03,0.36,0.25,0.2,0.15,2.02,3.09,0.0,2.39,0.02,0.0,0.01,0.14,3.71
88667,4.26,-5.16,0.16,0.41,0.06,0.59,1.17,68.25,14.14,0.01,6.27,-0.02,0.01,0.0,0.5,8.01
79271,6.39,-0.48,0.09,1.01,0.06,0.91,1.52,96.12,9.46,0.01,10.98,-0.01,0.01,0.01,0.96,10.1
39860,15.46,4.57,0.14,1.14,0.11,1.95,1.46,65.55,19.35,0.01,23.8,-0.01,0.01,0.01,0.81,14.18
73250,,,0.04,,0.02,,,,,0.01,0.0,0.02,0.0,0.01,0.71,3.71
110258,13.74,1.9,0.13,1.1,0.13,1.5,1.23,75.85,15.21,0.01,18.22,0.01,0.01,0.01,0.84,15.35
252791,12.99,4.57,0.16,1.07,0.17,1.52,1.31,69.36,15.81,0.01,18.34,0.08,0.02,0.01,0.57,21.78
227249,5.25,-1.34,0.07,0.84,0.06,0.52,0.95,95.84,5.95,0.01,6.29,-0.01,0.01,0.01,0.89,7.44
86867,18.33,6.58,0.13,1.38,0.13,1.87,1.21,71.76,15.32,0.01,23.43,0.01,0.01,0.01,0.84,15.35
225431,16.92,7.39,0.16,1.3,0.17,1.56,1.07,64.5,13.35,0.01,19.38,0.08,0.02,0.01,0.57,21.78
177677,,,0.03,,0.25,,,,,0.0,0.0,0.02,0.0,0.01,0.14,3.71
239570,3.77,-2.91,0.11,0.39,0.06,0.48,1.05,90.73,11.68,0.01,5.26,-0.01,0.01,0.01,0.9,6.62
168110,5.83,-1.05,0.08,0.93,0.06,0.71,1.23,96.55,7.68,0.01,8.48,-0.01,0.01,0.01,0.97,9.13
187703,4.85,2.93,0.05,1.21,0.01,0.4,0.73,55.81,2.86,0.01,4.84,0.0,0.0,0.0,0.42,2.17
211247,3.79,0.75,0.01,0.99,0.03,0.19,0.25,60.48,0.96,0.0,2.24,0.0,0.0,0.0,0.6,1.87
133946,8.3,-1.45,0.08,0.49,0.08,0.43,0.44,36.76,7.77,0.01,4.95,-0.03,0.0,0.0,0.55,4.36
84986,13.12,0.94,0.13,1.14,0.13,1.3,1.11,91.44,12.49,0.01,15.89,0.01,0.01,0.01,0.84,15.35
193697,3.43,-3.02,0.11,0.35,0.05,0.42,0.96,92.41,10.49,0.01,4.57,-0.02,0.01,0.0,0.85,5.92
47582,-1.22,-2.84,0.05,-0.1,0.03,0.08,0.37,38.18,3.62,0.01,0.84,-0.02,0.0,0.0,0.5,2.79
90710,,,0.07,,0.05,,,,,0.01,0.0,-0.02,0.01,0.01,0.82,6.14
108890,6.09,-0.56,0.07,0.88,0.06,0.59,0.96,79.62,6.57,0.01,7.12,-0.01,0.01,0.01,0.89,7.44
58967,0.34,-0.88,0.03,0.11,0.0,0.13,0.83,98.32,2.9,0.01,1.57,-0.01,0.0,0.0,0.96,1.62
116423,3.07,-3.71,0.11,0.33,0.06,0.44,1.09,91.43,12.0,0.01,4.63,-0.01,0.01,0.01,0.9,6.62
196415,1.25,-8.31,0.16,0.17,0.06,0.41,1.27,38.14,20.57,0.01,2.87,-0.02,0.01,0.0,0.5,8.01
239723,11.41,3.3,0.13,0.88,0.08,0.82,0.75,66.61,9.68,0.01,9.85,0.01,0.01,0.01,0.67,9.11
212093,37.55,6.23,0.04,1.38,0.3,0.64,0.17,1.24,4.53,0.0,7.82,0.05,0.01,0.01,0.04,6.97
35450,1.7,0.64,0.05,0.49,0.01,0.2,0.68,72.34,2.34,0.01,2.44,0.0,0.0,0.0,0.42,2.17
64664,0.91,-0.42,0.03,0.27,0.01,0.17,0.84,98.11,2.94,0.01,2.06,-0.01,0.0,0.0,0.97,1.97
76616,0.53,-0.91,0.03,0.17,0.01,0.16,1.05,97.99,3.66,0.01,1.85,-0.0,0.0,0.0,0.95,2.09
225953,5.49,-0.87,0.11,0.46,0.06,0.5,0.78,67.6,10.04,0.01,5.58,-0.01,0.01,0.01,0.9,6.62
58049,11.49,-0.63,0.11,1.05,0.11,1.04,0.98,98.72,10.6,0.01,12.57,-0.01,0.01,0.01,0.92,11.84
57860,18.5,6.15,0.14,1.43,0.11,1.72,1.1,76.06,13.58,0.01,21.68,-0.01,0.01,0.01,0.81,14.18
147797,5.87,-0.94,0.06,0.94,0.06,0.66,1.14,97.79,7.08,0.01,8.01,-0.01,0.01,0.01,0.97,7.51
134873,6.69,-0.04,0.06,1.05,0.06,0.49,0.69,95.76,4.32,0.01,5.93,-0.01,0.01,0.01,0.97,7.51
79073,1.25,-0.16,0.03,0.37,0.01,0.21,0.99,96.62,3.48,0.01,2.52,-0.01,0.0,0.0,0.95,1.9
223415,3.73,-7.39,0.11,0.37,0.11,0.45,0.95,85.41,11.05,0.01,4.84,-0.01,0.01,0.01,0.92,11.84
79316,6.4,-0.46,0.09,1.02,0.06,0.89,1.48,96.7,9.2,0.01,10.75,-0.01,0.01,0.01,0.95,9.54
82547,9.43,-2.31,0.11,0.84,0.11,0.85,0.94,89.27,10.63,0.01,10.11,-0.01,0.01,0.01,0.92,11.84
221210,10.72,-1.29,0.11,0.92,0.09,1.05,1.04,84.64,12.16,0.01,12.5,-0.02,0.01,0.01,0.84,10.01
83276,-23.24,4.16,0.03,1.36,-0.28,0.44,-0.18,3.12,2.88,-0.0,5.4,0.04,0.0,0.01,0.04,4.71
213506,1.14,0.73,0.06,0.3,0.05,0.27,1.54,50.11,6.39,0.01,3.04,0.03,0.0,0.01,0.25,5.35
56465,2.81,2.03,0.04,0.78,0.02,0.34,1.0,67.48,3.56,0.01,4.09,0.02,0.0,0.01,0.71,3.71
55430,8.32,-3.41,0.11,0.76,0.09,0.81,0.98,90.22,11.08,0.01,9.46,-0.02,0.01,0.01,0.84,10.01
67319,,,0.13,,0.13,,,,,0.01,0.0,0.01,0.01,0.01,0.84,15.35
74330,0.28,3.05,0.33,0.15,0.05,0.5,0.17,0.3,31.36,0.0,1.34,0.03,0.01,0.0,0.03,3.41
228689,5.48,-0.76,0.04,0.82,0.06,0.4,0.63,85.89,4.18,0.01,4.76,-0.0,0.0,0.01,0.88,4.79
102887,-0.47,-0.73,0.03,-0.14,-0.0,0.09,0.6,91.61,1.9,0.01,1.01,-0.01,0.0,-0.0,0.89,0.98
40760,8.79,-2.73,0.11,0.8,0.09,0.76,0.88,93.65,9.78,0.01,9.05,-0.02,0.01,0.01,0.84,10.01
233873,-2.97,-0.54,0.01,-0.6,-0.01,0.08,0.12,49.26,0.61,0.0,0.93,-0.01,0.0,-0.0,0.7,1.11
93464,9.56,-2.15,0.11,0.83,0.09,0.86,0.93,83.93,10.88,0.01,10.18,-0.02,0.01,0.01,0.84,10.01
136691,6.46,-0.23,0.05,1.03,0.06,0.56,0.84,97.68,5.2,0.01,6.73,-0.0,0.01,0.01,0.94,6.57
203210,15.52,4.2,0.16,1.2,0.12,1.82,1.36,72.71,17.19,0.01,22.47,-0.0,0.01,0.01,0.7,15.88
212741,,,0.13,,0.08,,,,,0.01,0.0,-0.04,0.01,0.01,0.81,9.67
60902,-1.48,-0.52,0.01,-0.4,0.03,0.08,0.23,65.85,0.87,0.0,0.95,0.0,0.0,0.0,0.6,1.87
83510,7.19,0.28,0.04,1.14,0.07,0.51,0.68,97.8,4.18,0.01,6.15,-0.0,0.0,0.01,0.92,5.56
244844,9.41,-2.57,0.11,0.87,0.11,0.92,1.02,97.03,11.16,0.01,10.93,-0.01,0.01,0.01,0.92,11.84
227933,8.52,0.67,0.05,1.18,0.05,0.72,0.89,88.4,6.22,0.01,8.75,-0.01,0.0,0.01,0.88,5.53
199997,1.01,0.26,0.03,0.34,0.01,0.19,0.96,93.61,2.94,0.01,2.26,0.0,0.0,0.0,0.88,2.37
224630,3.13,-10.82,0.16,0.33,0.08,0.57,1.37,73.14,17.14,0.01,5.57,-0.05,0.01,0.01,0.68,10.17
126278,7.4,-4.05,0.11,0.67,0.09,0.71,0.94,86.75,10.82,0.01,8.24,-0.02,0.01,0.01,0.84,10.01
242981,11.72,-0.27,0.16,0.96,0.12,1.35,1.26,76.32,15.48,0.01,16.04,-0.0,0.01,0.01,0.7,15.88
122570,5.79,-1.23,0.09,0.93,0.06,0.79,1.41,97.01,8.77,0.01,9.47,-0.01,0.01,0.01,0.95,9.54
180404,5.73,-1.09,0.07,0.9,0.06,0.66,1.16,93.44,7.37,0.01,7.96,-0.01,0.01,0.01,0.89,7.44
168713,4.66,1.94,0.03,1.14,0.06,0.3,0.51,53.36,2.03,0.0,3.66,0.03,0.0,0.01,0.29,4.58
97451,12.22,4.57,0.11,1.02,0.1,1.02,0.9,79.31,10.71,0.01,12.31,0.03,0.01,0.01,0.73,9.96
219311,14.96,3.03,0.13,1.21,0.13,1.56,1.2,79.7,14.41,0.01,19.2,0.01,0.01,0.01,0.84,15.35
190079,10.1,-1.89,0.11,0.91,0.09,0.97,1.02,92.24,11.38,0.01,11.59,-0.02,0.01,0.01,0.84,10.01
59138,,,0.0,,0.19,,,,,0.0,0.0,0.0,0.0,0.01,0.17,1.75
247508,6.58,-0.17,0.06,1.05,0.06,0.68,1.05,99.3,6.44,0.01,8.2,-0.01,0.01,0.01,0.97,7.51
177191,2.31,2.38,0.1,0.32,0.01,0.39,1.25,12.81,10.28,0.01,4.18,0.01,0.0,0.0,0.12,2.72
118754,3.12,-4.4,0.11,0.27,0.06,0.36,0.79,49.68,11.28,0.01,3.75,-0.02,0.01,0.0,0.53,6.27
54089,,,0.07,,0.05,,,,,0.01,0.0,-0.02,0.01,0.01,0.82,6.14
140201,9.12,-2.5,0.11,0.8,0.09,0.82,0.92,86.24,10.57,0.01,9.65,-0.02,0.01,0.01,0.84,10.01
182798,,,,,,,,,,,0.0,,,,,3.83
50426,,,0.03,,0.06,,,,,0.0,0.0,0.03,0.0,0.01,0.29,4.58
235511,-0.03,-9.11,0.24,0.1,-0.0,0.27,1.18,34.56,20.08,0.01,1.26,-0.12,0.0,0.0,0.35,-0.05
147626,5.45,-1.79,0.09,0.87,0.06,0.8,1.52,95.98,9.48,0.01,9.55,-0.01,0.01,0.01,0.96,9.92
225935,7.82,-1.17,0.18,0.65,0.09,0.84,1.06,62.53,13.51,0.01,9.6,0.0,0.01,0.01,0.56,13.01
193724,0.74,-0.6,0.03,0.22,0.02,0.17,0.9,96.67,3.18,0.01,1.96,0.0,0.0,0.0,0.9,2.76
179288,5.38,-2.06,0.13,0.34,0.07,0.48,0.7,28.1,13.33,0.01,5.07,-0.01,0.01,0.0,0.3,6.0
175202,11.85,-0.03,0.16,0.94,0.12,1.34,1.23,70.99,15.69,0.01,15.88,-0.0,0.01,0.01,0.7,15.88
198719,11.47,-0.69,0.11,1.05,0.11,1.08,1.03,99.78,11.06,0.01,13.1,-0.01,0.01,0.01,0.92,11.84
33128,4.23,-2.29,0.12,0.41,0.05,0.5,0.98,85.5,11.25,0.01,5.45,0.0,0.01,0.01,0.81,8.05
46340,-1.93,-1.98,0.03,-0.61,0.01,-0.01,0.75,91.78,2.34,0.01,-0.15,0.0,0.0,0.0,0.88,2.37
130526,4.04,2.19,0.03,0.82,0.06,0.33,0.67,36.42,3.24,0.0,4.01,0.03,0.0,0.01,0.29,4.58
193760,6.65,-1.19,0.07,0.99,0.06,0.76,1.19,97.92,7.95,0.01,9.12,-0.01,0.01,0.01,0.96,8.34
83600,0.38,-0.92,0.03,0.12,0.01,0.14,0.9,92.17,3.27,0.01,1.64,-0.01,0.0,0.0,0.95,1.9
55907,5.4,-6.3,0.11,0.52,0.11,0.6,1.02,92.26,11.38,0.01,6.79,-0.01,0.01,0.01,0.92,11.84
90053,0.97,-0.37,0.03,0.29,0.01,0.18,0.83,96.81,2.92,0.01,2.09,-0.01,0.0,0.0,0.95,1.9
86633,8.09,1.14,0.12,0.73,0.05,0.74,0.91,86.95,10.31,0.01,8.68,-0.01,0.01,0.0,0.83,6.7
139193,16.27,7.25,0.16,1.22,0.17,1.6,1.13,60.81,14.58,0.01,19.73,0.08,0.02,0.01,0.57,21.78
29240,2.94,1.72,0.04,0.8,0.03,0.39,1.16,88.6,4.24,0.01,4.7,0.01,0.0,0.01,0.84,3.85
96794,4.25,-3.39,0.11,0.34,0.06,0.42,0.76,48.05,10.98,0.01,4.5,-0.02,0.01,0.0,0.53,6.27
158210,3.42,-5.22,0.18,0.29,0.05,0.54,1.11,39.13,17.81,0.01,5.09,-0.04,0.01,0.0,0.42,7.36
221732,1.19,-0.23,0.04,0.35,0.01,0.21,1.0,98.22,3.49,0.01,2.48,-0.0,0.0,0.0,0.94,2.55
164960,16.45,7.91,0.16,1.28,0.17,1.73,1.22,66.22,15.1,0.01,21.44,0.08,0.02,0.01,0.57,21.78
240524,46.79,5.28,0.04,0.91,0.3,0.49,0.11,0.27,5.89,0.0,5.83,0.05,0.01,0.01,0.04,6.97
190880,,,0.09,,0.03,,,,,0.01,0.0,-0.01,0.0,0.01,0.95,4.94
192977,7.29,-4.68,0.16,0.58,0.06,0.88,1.16,62.07,15.8,0.01,9.75,-0.06,0.01,0.0,0.6,8.3
77354,23.35,5.93,0.11,0.88,0.26,0.93,0.42,13.87,11.27,0.0,11.04,0.05,0.01,0.01,0.13,9.39
226781,0.74,-0.59,0.03,0.23,0.01,0.16,0.88,99.03,3.06,0.01,1.94,-0.0,0.0,0.0,0.95,2.09
71162,9.16,4.56,0.1,1.0,0.01,0.52,0.55,10.57,4.92,0.01,6.33,0.01,0.0,0.0,0.12,2.72
117107,2.81,-4.04,0.11,0.23,0.05,0.32,0.7,41.44,10.87,0.01,3.25,-0.02,0.0,0.0,0.35,4.49
161540,9.36,-2.44,0.11,0.84,0.09,0.87,0.97,90.36,10.91,0.01,10.35,-0.02,0.01,0.01,0.84,10.01
215918,16.38,4.6,0.16,1.21,0.12,1.67,1.17,66.19,15.5,0.01,20.51,-0.0,0.01,0.01,0.7,15.88
112706,11.21,-0.67,0.13,0.88,0.07,1.05,1.0,69.64,12.78,0.01,12.44,-0.05,0.01,0.01,0.78,8.55
180521,7.99,-3.8,0.13,0.72,0.07,0.81,1.02,87.37,11.64,0.01,9.41,-0.05,0.01,0.01,0.78,8.55
214550,8.14,-3.59,0.16,0.66,0.08,0.87,1.06,67.2,13.85,0.01,9.91,-0.05,0.01,0.01,0.68,10.17
99593,11.35,-0.35,0.08,0.81,0.08,0.7,0.62,57.81,8.8,0.01,8.38,-0.03,0.0,0.0,0.55,4.36
83240,-24.45,3.96,0.03,1.29,-0.28,0.43,-0.16,2.5,2.91,-0.0,5.2,0.04,0.0,0.01,0.04,4.71
162980,6.37,-0.32,0.05,1.01,0.06,0.58,0.89,97.52,5.5,0.01,6.96,-0.0,0.01,0.01,0.94,6.57
53774,6.71,0.06,0.13,0.56,0.08,0.62,0.86,69.9,10.81,0.01,7.03,0.01,0.01,0.01,0.67,9.11
56195,3.08,-3.73,0.07,0.5,0.06,0.4,1.08,90.62,6.92,0.01,4.62,-0.01,0.01,0.01,0.89,7.44
151775,9.61,-2.31,0.11,0.86,0.09,0.93,1.01,90.0,11.42,0.01,11.01,-0.02,0.01,0.01,0.84,10.01
243161,-1.15,-0.86,0.01,-0.34,-0.03,0.07,0.46,82.28,1.54,0.0,0.77,-0.01,0.0,-0.01,0.67,0.76
237590,,,0.16,,0.12,,,,,0.01,0.0,-0.0,0.01,0.01,0.7,15.88
128951,,,0.12,,0.05,,,,,0.01,8.69,0.0,0.01,0.01,0.81,10.1
169037,5.63,1.56,0.01,1.03,0.03,0.26,0.32,29.9,1.69,0.0,3.12,0.0,0.0,0.0,0.6,1.87
215648,0.1,-1.26,0.03,0.04,0.01,0.12,0.97,94.59,3.47,0.01,1.39,-0.01,0.0,0.0,0.95,1.83
148625,5.44,3.04,0.03,0.92,0.06,0.4,0.66,24.96,3.8,0.0,4.86,0.03,0.0,0.01,0.29,4.58
57779,-0.71,-0.9,0.03,-0.2,-0.0,0.07,0.63,77.19,2.13,0.01,0.85,-0.01,0.0,-0.0,0.89,0.98
117134,5.33,-7.44,0.16,0.47,0.06,0.76,1.27,68.37,16.45,0.01,8.05,-0.06,0.01,0.0,0.6,8.3
187631,0.22,-8.3,0.16,0.09,0.06,0.22,1.02,46.41,15.1,0.01,1.51,-0.02,0.01,0.0,0.5,8.01
218573,-20.92,3.86,0.03,1.38,-0.28,0.42,-0.18,3.95,2.63,-0.0,5.09,0.04,0.0,0.01,0.04,4.71
219500,-1.07,-0.52,0.01,-0.24,-0.01,0.09,0.21,65.77,0.91,0.0,1.07,-0.01,0.0,-0.0,0.7,1.11
180584,6.17,4.13,0.06,1.18,0.05,0.5,0.78,32.89,3.97,0.01,6.1,0.03,0.0,0.01,0.25,5.35
244187,5.5,-5.5,0.11,0.46,0.11,0.58,0.93,64.12,12.5,0.01,6.43,-0.01,0.01,0.01,0.92,11.84
68246,10.23,-1.86,0.11,0.88,0.11,1.09,1.14,82.87,13.36,0.01,12.9,-0.01,0.01,0.01,0.92,11.84
172079,14.43,1.63,0.13,1.06,0.07,0.98,0.73,64.19,9.79,0.01,11.85,-0.05,0.01,0.01,0.78,8.55
153647,-1.32,-1.87,0.03,-0.42,-0.0,0.01,0.92,96.24,2.8,0.01,0.08,-0.01,0.0,-0.0,0.89,0.98
66986,6.49,-0.14,0.05,0.9,0.05,0.49,0.71,72.46,5.14,0.01,5.92,-0.01,0.0,0.01,0.88,5.53
154691,11.52,4.87,0.11,0.97,0.1,1.16,1.09,80.14,12.89,0.01,13.86,0.03,0.01,0.01,0.73,9.96
110222,12.36,0.14,0.11,1.11,0.11,1.08,0.96,96.31,10.46,0.01,13.09,-0.01,0.01,0.01,0.92,11.84
49904,6.49,-0.27,0.11,0.63,0.06,0.65,0.95,96.28,10.26,0.01,7.48,-0.01,0.01,0.01,0.9,6.62
133163,4.7,-1.93,0.07,0.74,0.05,0.5,1.0,92.93,6.36,0.01,6.0,-0.02,0.01,0.01,0.82,6.14
208205,1.74,0.81,0.03,0.43,0.0,0.23,0.8,49.8,3.31,0.01,2.69,-0.0,0.0,0.0,0.59,1.65
173159,9.38,-2.54,0.11,0.86,0.11,0.91,1.01,93.68,11.2,0.01,10.77,-0.01,0.01,0.01,0.92,11.84
152414,1.34,0.63,0.05,0.31,0.01,0.22,0.98,41.64,4.44,0.01,2.59,0.0,0.0,0.0,0.42,2.17
51596,1.24,0.39,0.03,0.38,0.01,0.19,0.78,78.25,2.6,0.01,2.26,0.0,0.0,0.0,0.88,2.37
159344,2.15,0.65,0.04,0.62,0.01,0.27,0.92,97.08,3.23,0.01,3.27,-0.0,0.0,0.0,0.94,2.55
214019,1.49,2.61,0.33,0.17,0.05,0.59,0.34,1.02,33.93,0.0,1.8,0.03,0.01,0.0,0.03,3.41
158534,8.5,-3.32,0.11,0.76,0.09,0.85,1.01,87.58,11.62,0.01,9.91,-0.02,0.01,0.01,0.84,10.01
106892,-4.24,0.5,0.03,0.15,0.25,0.14,-0.09,0.93,2.83,0.0,1.69,0.02,0.0,0.01,0.14,3.71
121805,,,0.04,,0.02,,,,,0.01,0.0,0.02,0.0,0.01,0.71,3.71
180233,3.79,-9.49,0.13,0.38,0.08,0.6,1.28,77.24,15.59,0.01,6.13,-0.04,0.01,0.01,0.81,9.67
128474,4.36,2.34,0.06,0.69,0.05,0.34,0.65,21.61,4.06,0.01,4.12,0.03,0.0,0.01,0.25,5.35
127772,5.81,-0.9,0.11,0.56,0.06,0.68,1.09,89.63,12.19,0.01,7.63,-0.01,0.01,0.01,0.9,6.62
56393,3.55,-4.72,0.08,0.29,0.08,0.25,0.69,54.48,10.11,0.01,2.56,-0.03,0.0,0.0,0.55,4.36
228716,6.68,-0.05,0.04,1.06,0.07,0.53,0.77,97.45,4.73,0.01,6.41,-0.0,0.0,0.01,0.92,5.56
88118,-0.15,-2.59,0.11,0.04,-0.0,0.14,0.77,83.59,10.6,0.01,1.18,-0.01,0.0,0.0,0.74,3.03
58121,15.06,3.6,0.16,1.17,0.12,1.75,1.34,73.65,16.84,0.01,21.54,-0.0,0.01,0.01,0.7,15.88
100556,5.56,-2.82,0.11,0.47,0.06,0.54,0.85,60.04,11.04,0.01,6.02,-0.02,0.01,0.0,0.53,6.27
235448,6.12,-1.84,0.1,0.45,0.1,0.48,0.67,46.44,9.84,0.01,5.38,0.01,0.01,0.01,0.48,8.24
223523,-0.57,-0.53,0.01,-0.14,-0.01,0.1,0.27,81.94,1.05,0.0,1.14,-0.01,0.0,-0.0,0.7,1.11
158129,3.37,-4.09,0.18,0.26,0.05,0.52,0.96,25.09,19.24,0.01,4.53,-0.04,0.01,0.0,0.42,7.36
65618,1.14,0.54,0.04,0.38,0.02,0.24,1.32,92.79,4.05,0.01,2.79,0.02,0.0,0.01,0.71,3.71
237203,-1.89,-0.67,0.01,-0.55,0.03,0.07,0.26,75.89,0.92,0.0,0.81,0.0,0.0,0.0,0.6,1.87
123533,5.21,-1.14,0.05,0.84,0.05,0.44,0.78,99.13,4.75,0.01,5.33,-0.01,0.0,0.01,0.88,5.53
171890,9.58,-2.56,0.13,0.86,0.13,1.02,1.12,89.92,12.71,0.01,12.06,0.01,0.01,0.01,0.84,15.35
104345,7.5,-4.39,0.13,0.66,0.08,0.81,1.07,79.21,12.9,0.01,9.33,-0.04,0.01,0.01,0.81,9.67
107729,5.54,-1.22,0.07,0.88,0.06,0.61,1.08,96.0,6.74,0.01,7.28,-0.01,0.01,0.01,0.89,7.44
168281,5.85,-1.17,0.09,0.94,0.06,0.8,1.42,97.16,8.8,0.01,9.58,-0.01,0.01,0.01,0.96,10.1
