investment_class,currency,total_assets,yield,greatstone_rating,inception_date,tag,fund_size,return_ytd
Blend,USD,192700000.0,0.0,3,2006-02-28,249515,Medium,-19.49
Growth,USD,1590000000.0,2.83,,2005-06-27,189953,Medium,3.0
Growth,USD,1850000000.0,0.0,4,2014-11-24,183293,Medium,21.3
Blend,USD,17100000.0,2.7,1,2011-12-18,101051,Large,10.96
Blend,USD,949940000.0,0.0,3,2014-03-17,84653,Large,10.82
Value,USD,280130000.0,2.99,3,1987-10-28,153737,Small,4.76
Blend,USD,5100000000.0,2.43,4,2015-01-22,58490,Large,2.89
Blend,USD,143420000.0,1.81,2,2015-08-23,192059,Large,10.56
Growth,USD,368540000.0,0.0,2,2000-01-31,190061,Medium,10.02
Blend,USD,430610000.0,1.91,2,2010-01-31,73898,Large,2.4
Value,USD,861000000.0,2.97,2,2010-09-29,210194,Small,1.39
Growth,USD,2900000000.0,0.31,3,1994-01-02,166409,Large,14.4
Growth,USD,4070000000.0,0.0,4,1997-09-29,49391,Medium,23.06
Blend,USD,5790000000.0,1.93,4,2017-08-03,127880,Large,10.6
Blend,USD,79600000.0,1.38,,2008-01-10,105920,Large,7.54
Value,USD,1280000000.0,1.8,4,2011-11-30,201653,Large,12.94
Growth,USD,115880000.0,0.0,1,2007-02-15,138563,Large,13.36
Growth,USD,2710000000.0,0.0,4,1997-11-03,179693,Medium,23.28
Blend,USD,52460000.0,2.22,4,2011-01-30,168056,Large,7.76
Value,USD,16200000.0,0.0,1,1993-02-07,181601,Small,13.85
Value,USD,16130000000.0,1.84,2,1992-12-30,230354,Large,11.09
,USD,4050000.0,1.89,2,2015-05-31,90647,,0.81
Blend,USD,819240.0,2.65,,2017-12-28,191123,Large,6.27
Growth,USD,1210000000.0,0.0,5,2010-12-27,153287,Large,16.01
Growth,USD,23480000.0,0.0,3,2012-01-02,218951,Medium,25.29
Growth,USD,671810000.0,0.0,,2014-06-29,75131,Medium,13.61
Blend,USD,560870000.0,0.0,3,2000-06-25,211922,Large,7.37
Blend,USD,193020000.0,2.63,3,1993-02-21,109268,Medium,2.98
Blend,USD,11160000.0,1.72,2,2016-02-28,168659,Large,12.01
Blend,USD,16100000.0,0.08,3,2012-10-30,62342,Large,5.85
Value,USD,6980000000.0,1.94,4,1998-03-04,64772,Small,8.8
Growth,USD,61110000.0,0.0,3,1996-07-14,252737,Small,14.6
Blend,USD,54740000000.0,1.95,4,2001-03-14,34775,Large,8.96
Blend,USD,118240000.0,2.98,4,2014-03-31,162503,Large,12.51
Blend,USD,767730000.0,2.92,4,1999-09-29,167138,Large,5.61
Blend,USD,108440000.0,2.89,4,2013-04-30,121652,Large,9.23
Growth,USD,12610000.0,1.77,0,2017-09-05,191843,Large,13.04
Value,USD,898500000.0,1.82,2,2013-04-30,79712,Small,12.24
Value,USD,14800000000.0,3.52,4,1999-09-07,178694,Small,1.08
Blend,USD,381660000.0,0.0,2,1996-08-18,160667,Large,11.53
Growth,USD,181280000.0,0.0,2,2014-03-02,235538,Large,16.44
Blend,USD,23820000.0,2.25,1,1982-12-29,105416,Large,2.58
Growth,USD,10590000000.0,0.06,5,2004-10-31,194039,Medium,14.36
Blend,USD,5120000000.0,4.54,4,2017-02-27,114911,Medium,1.49
Value,USD,195790000.0,6.24,5,2013-04-29,238697,Medium,7.48
Growth,USD,11460000000.0,0.0,4,2009-07-05,129770,Medium,17.29
Growth,USD,188440000000.0,0.0,3,2002-05-20,206657,Large,13.55
Blend,USD,994600000.0,3.43,3,1997-12-14,218924,Medium,2.62
Blend,USD,571680000.0,0.84,,2015-11-01,252233,Medium,14.12
Growth,USD,334630000.0,1.93,4,2007-11-27,128672,Medium,15.69
Blend,USD,122300000.0,2.26,3,2014-06-01,144764,Large,6.07
Growth,USD,4130000000.0,3.09,3,2005-03-31,153359,Medium,5.53
Blend,USD,2290000.0,1.98,0,2017-05-30,145718,Large,13.05
Blend,USD,137080000.0,3.94,2,2016-08-31,196775,Large,6.23
Growth,USD,65700000.0,0.0,1,1988-08-11,204101,Large,15.52
Blend,USD,8340000000.0,4.59,4,2001-01-29,73214,Small,3.46
Growth,USD,634190000.0,0.91,1,2007-09-27,32795,Medium,1.87
Growth,USD,265080000.0,0.0,,2005-02-28,41480,Large,10.98
Growth,USD,117790000.0,0.0,2,1997-09-28,72305,Medium,14.54
Value,USD,5430000000.0,3.69,,2002-05-30,152567,Small,5.97
Value,USD,659010000.0,2.62,,2015-07-07,50534,Medium,1.55
Value,USD,1510000000.0,5.08,4,2005-03-31,155708,Small,7.07
Value,USD,14380000000.0,2.29,,2012-12-05,84113,Large,13.39
Value,USD,22530000.0,2.86,2,2015-03-26,169001,Large,7.41
Growth,USD,21550000.0,0.3,0,2016-02-29,181331,Large,5.89
Blend,USD,3950000000.0,2.95,4,2005-04-07,251936,Medium,2.81
Blend,USD,389160000.0,2.79,,1997-07-27,241028,Large,2.0
Blend,USD,1060000000.0,0.0,3,2004-05-31,190538,Small,12.94
Value,USD,31310000.0,0.0,,2010-11-29,222452,Small,16.4
Blend,USD,71230000.0,2.69,2,2008-03-30,249110,Medium,1.0
Blend,USD,299530000.0,0.13,0,2016-08-18,47438,Medium,15.22
Blend,USD,600920000.0,1.71,3,2006-12-28,188639,Medium,15.47
Blend,USD,1860000000.0,1.54,4,1998-01-29,194381,Large,14.01
,USD,5930000.0,0.7,0,2017-11-05,162080,,10.14
Blend,USD,45670000.0,4.7,4,2009-05-03,119186,Large,12.63
Growth,USD,555700000.0,0.0,,2010-06-30,69560,Small,14.49
Blend,USD,2890000000.0,2.25,2,2014-02-02,70721,Large,9.55
Blend,USD,27110000.0,2.31,4,1999-12-14,242054,Large,7.84
Growth,USD,4610000000.0,0.0,,2003-10-30,151343,Medium,18.76
Blend,USD,256690000.0,1.8,3,1999-04-11,198413,Small,13.31
Blend,USD,24480000.0,1.3,2,2010-08-01,209213,Large,10.83
Growth,USD,81240000.0,0.0,3,2004-08-31,213551,Large,11.8
Blend,USD,153530000.0,1.17,4,2002-09-30,202301,Large,10.48
Blend,USD,139970000.0,1.27,2,2007-08-28,175661,Large,11.72
,USD,696930000.0,2.77,3,2015-07-30,98198,,2.75
Blend,USD,24700000000.0,2.14,,2003-10-26,247193,Large,11.48
Blend,USD,160020000.0,0.2,0,2017-12-26,209051,Medium,12.68
Blend,USD,61810000.0,2.65,,1995-07-04,122723,Large,6.4
Value,USD,1940000000.0,1.68,3,1998-12-27,84266,Large,12.51
Blend,USD,25440000.0,0.0,2,2011-12-29,72872,Large,-4.91
Blend,USD,139690000.0,2.39,3,2016-10-30,118169,Large,3.96
Growth,USD,739870000.0,0.76,4,2009-04-30,122363,Large,14.84
,USD,18320000.0,0.14,0,2017-01-31,199070,,4.32
Blend,USD,551820000.0,2.38,,2017-04-03,76229,Small,6.86
Blend,USD,7270000.0,1.22,5,2015-11-29,249290,Large,9.39
Blend,USD,1330000000.0,0.74,3,1997-09-25,222893,Large,13.29
Growth,USD,577710000.0,0.0,3,2011-12-06,158732,Large,16.9
Blend,USD,140880000.0,2.36,3,2014-02-09,95471,Medium,2.81
Growth,USD,60190000.0,0.01,,2016-03-30,146546,Large,17.6
Blend,USD,544040000.0,1.73,3,2010-11-14,161117,Large,10.65
Blend,USD,15770000000.0,1.74,4,2006-03-22,85661,Large,10.6
Blend,USD,23080000.0,5.6,0,2016-12-05,30383,Small,4.34
Blend,USD,58710000.0,1.47,1,2015-03-01,228518,Large,9.9
Growth,USD,555700000.0,0.0,2,2013-06-30,69614,Small,14.77
Blend,USD,1320000000.0,3.05,4,2011-02-27,43577,Medium,3.84
Growth,USD,135540000.0,1.42,0,2018-02-15,158966,Large,12.35
Blend,USD,1850000000.0,2.08,2,1998-07-30,106910,Medium,3.33
Growth,USD,161610000.0,0.0,2,2009-02-01,232001,Large,18.24
Value,USD,23820000.0,0.0,4,2017-09-28,38033,Large,9.05
Value,USD,10950000000.0,2.99,3,1998-01-01,140390,Large,5.03
Value,USD,1520000000.0,2.71,3,2008-10-02,115865,Large,9.96
Blend,USD,5080000.0,0.04,1,2007-10-28,34379,Medium,15.9
Growth,USD,1050000000.0,0.0,2,1996-09-22,74780,Large,10.98
Value,USD,77010000.0,0.77,5,2014-06-29,115154,Small,11.98
Growth,USD,93470000.0,0.0,,2007-02-28,56276,Large,15.68
Blend,USD,467230000.0,1.34,,2005-09-28,157787,Large,12.29
Growth,USD,92020000.0,0.0,0,2018-03-15,220967,Medium,18.82
Blend,USD,48060000.0,2.86,3,1985-03-31,235394,Large,2.38
,USD,55480000.0,0.25,4,2004-08-31,218582,,5.55
Blend,USD,3060000000.0,2.28,4,2011-05-30,143585,Large,10.72
Value,USD,749760000.0,0.76,,1990-07-24,182762,Medium,14.32
Blend,USD,403780000.0,1.86,,2012-02-29,132524,Large,12.23
Value,USD,302920000.0,2.63,3,2015-09-14,49328,Large,9.72
Value,USD,37500000.0,2.01,2,2006-07-10,69830,Medium,2.66
Growth,USD,1530000000.0,0.0,4,1996-12-30,147095,Small,15.15
Blend,USD,48060000.0,3.16,3,2016-08-29,235412,Large,2.37
Blend,USD,36450000.0,0.96,1,2000-06-18,221885,Large,29.82
Growth,USD,634190000.0,0.42,1,2007-09-27,33272,Medium,1.75
Value,USD,333010000.0,0.0,3,1999-01-31,77858,Medium,12.06
Value,USD,5850000000.0,1.93,4,2010-10-31,153242,Large,1.86
Growth,USD,305340000.0,0.0,2,1994-05-19,70325,Large,16.11
Blend,USD,31730000.0,2.37,1,2011-12-18,97325,Large,10.75
Blend,USD,82590000.0,1.21,2,2000-12-28,226052,Large,9.46
Growth,USD,95210000000.0,1.32,,2014-08-28,207647,Large,11.21
Blend,USD,10900000000.0,1.5,4,1986-12-09,245771,Large,13.28
Blend,USD,514340000.0,0.0,2,2008-06-03,122804,Small,14.35
Blend,USD,183980000.0,1.28,1,2009-11-01,35774,Large,12.08
Value,USD,34530000.0,1.67,,2013-09-26,28277,Large,5.91
Blend,USD,19640000000.0,1.79,4,1999-06-30,232856,Large,14.01
Growth,USD,5390000000.0,1.78,0,2017-09-11,234881,Medium,3.72
Blend,USD,288390000.0,2.42,3,1996-02-04,215585,Large,7.77
Blend,USD,71330000.0,0.47,3,2015-10-04,46214,Large,14.38
Blend,USD,48020000.0,5.07,3,2015-10-20,50579,Small,4.79
Blend,USD,65940000.0,0.0,3,2005-09-29,34046,Medium,-0.71
Growth,USD,2350000000.0,0.0,3,2012-11-29,74204,Large,18.5
,USD,8650000.0,3.3,0,2018-02-27,232343,,3.82
Value,USD,1330000.0,0.0,,2000-07-31,218681,Large,8.96
Blend,USD,,,4,2015-10-29,218375,Large,
Blend,USD,1050000000.0,1.47,5,1998-01-25,74087,Large,13.57
Blend,USD,940730000.0,1.91,3,2012-09-03,135323,Large,10.26
Growth,USD,21290000.0,0.0,2,2001-09-03,221129,Small,14.52
Growth,USD,329510000.0,0.84,4,2006-08-30,112544,Large,13.32
Blend,USD,1580000000.0,2.38,4,2004-08-30,38339,Large,7.27
Value,USD,198130000.0,6.1,4,2012-02-06,164906,Small,6.54
Value,USD,1160000000.0,5.48,4,2004-04-29,32489,Small,7.53
Blend,USD,38980000.0,2.37,,2012-11-29,250640,Large,10.35
Value,USD,1570000000.0,2.2,3,2007-05-30,89261,Large,6.14
Growth,USD,417360000.0,0.0,3,2005-11-30,225629,Small,15.37
Growth,USD,7060000.0,0.78,0,2016-12-18,112157,Large,12.42
Growth,USD,632130000.0,1.32,,2015-06-29,143774,Medium,9.67
Blend,USD,310860000.0,3.36,,2006-10-01,153026,Medium,2.87
Blend,USD,1450000000.0,0.44,3,2016-02-29,112877,Small,13.21
Blend,USD,313790000.0,1.87,3,1995-09-10,193958,Medium,2.75
Value,USD,1520000000.0,1.98,4,2009-06-18,131390,Medium,1.85
Growth,USD,156510000000.0,0.55,3,2002-02-14,54152,Large,12.9
Blend,USD,957400000.0,0.66,3,1999-03-21,178316,Small,12.77
,USD,33840000000.0,6.98,3,2009-02-01,83654,,1.85
Blend,USD,206310000.0,2.6,0,2016-04-27,166778,Large,7.78
Growth,USD,2420000000.0,1.3,4,2010-12-21,246113,Small,14.59
Growth,USD,10720000000.0,0.18,4,2007-01-31,204380,Large,11.08
Growth,USD,1750000.0,0.0,0,2017-12-28,36188,Large,20.17
Growth,USD,2190000000.0,2.08,1,2015-11-29,109754,Large,12.68
,USD,518500000.0,2.24,3,2015-07-30,98450,,1.05
Value,USD,18580000.0,3.85,,1996-04-24,93851,Large,10.2
Blend,USD,14240000.0,0.0,,2007-07-01,185930,Large,19.28
Value,USD,1340000000.0,0.15,3,1986-04-30,151460,Large,11.98
Value,USD,83020000.0,0.51,,2009-08-31,235619,Large,12.04
Value,USD,2880000000.0,0.21,4,2005-02-28,27647,Medium,11.63
Blend,USD,13340000.0,0.8,0,2017-10-03,60056,Medium,-0.85
Value,USD,13380000000.0,1.43,4,2008-03-27,53675,Large,11.81
Blend,USD,20670000.0,2.84,0,2017-10-30,243926,Large,15.36
,USD,517050000.0,0.0,1,2013-08-29,109862,,1.51
Growth,USD,2170000000.0,0.0,3,2016-01-26,188576,Large,13.74
Value,USD,154150000.0,1.62,4,2012-09-27,158507,Large,11.52
Value,USD,18990000000.0,0.95,1,2002-06-12,204524,Large,1.46
Blend,USD,294760000.0,3.45,,2014-05-26,42866,Medium,5.08
Value,USD,1570000000.0,0.0,2,1999-06-20,246536,Small,19.21
Blend,USD,4500000000.0,1.84,5,2015-09-28,236231,Large,8.87
Blend,USD,35510000.0,1.5,3,2005-09-19,37520,Large,8.77
Blend,USD,690520000.0,2.3,3,2005-04-03,159713,Large,8.88
Blend,USD,61780000.0,3.2,,2011-04-28,38618,Large,15.42
Blend,USD,397820000.0,3.91,0,2018-01-03,167453,Medium,2.64
Value,USD,4750000000.0,1.84,,2010-07-11,198341,Medium,1.66
Growth,USD,86060000.0,0.0,3,2010-12-28,65978,Medium,11.59
Blend,USD,247770000.0,2.59,0,2016-04-04,69533,Medium,3.79
Value,USD,158310000.0,2.07,,2011-05-30,109133,Large,9.19
Growth,USD,142530000.0,0.0,3,1998-03-31,90098,Medium,18.46
Value,USD,86760000.0,2.01,2,2017-04-03,102248,Medium,8.8
Blend,USD,43430000.0,4.91,,2013-11-10,201311,Small,4.99
Blend,USD,1180000000.0,3.81,4,1995-08-06,76571,Medium,3.57
Value,USD,174090000.0,1.51,,2011-03-24,221930,Large,5.94
Growth,USD,10740000.0,0.72,2,2009-11-29,100493,Large,13.41
Blend,USD,2740000000.0,2.21,5,2009-09-29,233945,Large,8.74
Blend,USD,1230000000.0,1.75,3,2011-10-19,91124,Medium,3.01
Growth,USD,1840000000.0,0.0,,2000-08-10,199844,Large,21.6
Blend,USD,1810000000.0,3.6,4,1994-06-15,193652,Medium,3.72
Growth,USD,66000000000.0,0.7,3,2015-11-19,203462,Large,12.75
Blend,USD,86420000.0,2.71,,2006-02-27,119744,Medium,13.13
Value,USD,86760000.0,1.85,2,2008-10-02,105704,Medium,8.74
Value,USD,1430000000.0,1.97,3,2012-05-17,210383,Large,1.44
Blend,USD,99680000.0,1.82,3,1991-09-19,85805,Medium,0.92
Value,USD,40890000.0,0.0,,2005-12-29,55835,Large,15.17
Blend,USD,2940000000.0,2.33,,2002-02-28,58499,Medium,3.39
Blend,USD,319570000.0,0.73,5,2015-06-28,191852,Large,13.37
Value,USD,315640000.0,7.11,,2001-08-29,86759,Small,8.24
Blend,USD,8150000.0,0.0,3,2016-03-17,201878,Large,3.31
Value,USD,11840000000.0,2.58,5,2010-05-27,107882,Large,8.16
Growth,USD,4550000000.0,0.0,3,1997-07-10,40193,Large,19.73
Value,USD,1290000000.0,0.87,3,2003-10-01,211328,Small,7.7
Growth,USD,4030000000.0,0.0,,1996-09-02,77867,Large,10.3
Growth,USD,4590000000.0,0.0,,1995-04-02,113768,Medium,17.38
Blend,USD,871090000.0,3.62,3,1998-09-20,242603,Small,5.43
Value,USD,328060000.0,0.87,2,1994-12-19,218348,Small,13.02
Value,USD,1080000000.0,1.15,2,1999-01-31,82700,Large,9.26
Blend,USD,239430000.0,2.87,3,2011-06-19,162971,Large,11.24
Growth,USD,4510000000.0,0.0,3,2005-07-31,63962,Small,14.39
Blend,USD,230770000.0,0.0,4,2012-02-28,101978,Large,0.3
Blend,USD,4180000000.0,3.05,1,2015-01-21,210230,Medium,-0.92
Value,USD,215940000.0,1.33,2,1996-03-20,32156,Large,0.2
Growth,USD,188440000000.0,0.82,,2015-11-19,206702,Large,13.84
Value,USD,528520000.0,1.66,2,1996-12-30,84041,Large,12.95
Value,USD,960800000.0,0.41,2,2007-02-12,88244,Large,10.5
Value,USD,866230000.0,1.57,3,2013-04-30,79532,Large,11.45
Blend,USD,1380000000.0,1.35,4,2013-08-29,139337,Small,4.39
Value,USD,182240000.0,1.55,2,2004-03-30,212867,Medium,5.61
Blend,USD,690520000.0,1.03,2,2005-04-03,159677,Large,8.64
Value,USD,46000000.0,6.4,2,2002-02-28,56348,Large,7.96
Blend,USD,874070000.0,0.0,2,2012-04-29,54017,Large,8.07
Value,USD,272570000.0,4.52,4,2013-06-27,166472,Small,3.43
Blend,USD,633710000.0,2.62,3,1985-11-14,90116,Medium,2.64
Value,USD,502210000.0,0.94,,2013-04-30,88703,Large,7.61
Blend,USD,1150000000.0,0.0,3,2017-09-07,143981,Small,16.99
Blend,USD,6970000000.0,2.69,2,1990-06-17,245618,Large,8.35
Blend,USD,3480000000.0,0.0,4,2009-06-01,27539,Large,8.19
Growth,USD,981040000.0,0.82,,1982-02-28,34388,Large,14.06
Blend,USD,815540000.0,1.62,3,2012-07-01,133901,Large,10.82
Growth,USD,65100000.0,0.0,,2006-01-31,249002,Medium,20.63
Growth,USD,10720000000.0,0.15,3,2007-01-31,203561,Large,11.03
Value,USD,109980000.0,0.0,2,2002-11-14,64196,Large,8.57
Growth,USD,36410000.0,0.23,2,2013-11-07,44567,Large,15.81
Blend,USD,13240000.0,2.14,3,1987-09-03,171764,Large,2.41
Blend,USD,964590000.0,2.49,3,1995-09-20,205514,Medium,15.75
Value,USD,941810000.0,1.0,1,1994-09-27,141983,Large,10.08
Value,USD,1050000000.0,3.33,2,2011-01-30,178946,Small,3.64
Blend,USD,2370000000.0,2.08,3,2003-07-31,176327,Medium,3.28
Growth,USD,13090000.0,3.14,,2010-04-29,39239,Large,8.64
Blend,USD,44230000.0,3.2,2,2013-06-30,87902,Large,6.78
Growth,USD,4550000000.0,0.0,3,2017-04-09,40211,Large,19.83
Growth,USD,95210000000.0,1.73,3,2002-02-14,56105,Large,11.35
Blend,USD,2890000000.0,2.16,2,2014-02-02,53801,Large,9.52
Blend,USD,32610000.0,0.25,2,2008-11-03,226034,Small,6.32
Blend,USD,11490000000.0,0.42,,2007-01-15,184553,Large,10.62
Growth,USD,3310000000.0,2.99,3,2009-02-25,102365,Medium,2.78
Blend,USD,1320000000.0,0.39,4,2004-10-31,197711,Small,11.38
Value,USD,1390000000.0,1.25,,1984-05-22,243737,Large,10.04
Blend,USD,231260000.0,1.28,3,2012-05-08,40994,Large,9.18
Growth,USD,332650000.0,3.23,4,1992-02-27,172430,Medium,3.18
Growth,USD,42690000000.0,0.0,,2002-07-23,211715,Medium,15.48
Value,USD,3550000000.0,2.83,3,2017-07-31,86399,Large,1.91
Blend,USD,227040000.0,1.62,2,1996-04-30,171755,Large,2.01
Blend,USD,13830000.0,0.26,1,2013-06-02,199061,Large,5.35
Blend,USD,45450000.0,0.0,3,2010-05-27,243377,Small,13.66
Blend,USD,352750000.0,2.78,4,2012-11-07,58958,Medium,2.35
Blend,USD,18410000000.0,2.31,,2011-01-31,97127,Large,8.61
Blend,USD,2740000000.0,0.0,2,1999-08-01,178955,Medium,0.37
Blend,USD,304010000.0,5.32,3,2013-04-29,234611,Medium,19.15
Blend,USD,203510000.0,2.61,0,2016-04-28,166877,Large,9.67
Blend,USD,1470000000.0,1.36,5,2008-03-09,119798,Medium,16.36
Growth,USD,5960000000.0,0.0,3,2003-04-29,216548,Large,22.33
Blend,USD,1810000000.0,1.59,1,2010-02-28,43433,Medium,2.12
Blend,USD,78450000.0,2.22,2,1995-12-05,68606,Medium,15.17
Growth,USD,348460000.0,0.0,3,2002-09-08,71342,Large,15.84
Value,USD,11960000000.0,1.52,2,2002-01-01,230525,Large,8.08
Value,USD,349270000.0,2.55,2,2015-03-01,147851,Large,8.62
Value,USD,2010000000.0,1.55,3,2016-09-08,134828,Medium,8.78
,USD,6480000.0,0.66,,2003-10-16,225728,,0.62
Value,USD,809820000.0,1.63,,2009-05-31,125009,Large,10.83
Value,USD,2290000000.0,2.12,,2017-01-02,192770,Medium,11.72
Growth,USD,242940000.0,0.0,2,2009-09-29,158849,Medium,18.37
,USD,9190000.0,0.0,4,2013-12-30,226070,,9.84
Blend,USD,5790000000.0,1.88,5,2009-07-05,129698,Large,10.6
Blend,USD,583240000.0,2.29,3,2016-07-28,204686,Medium,5.0
Value,USD,5850000000.0,1.92,,2010-10-31,153269,Large,1.86
Blend,USD,65940000.0,0.0,3,2005-09-29,34037,Medium,-0.97
Blend,USD,4350000000.0,3.46,,2011-05-30,235574,Large,21.25
Value,USD,1940000000.0,1.46,3,2008-02-04,84320,Large,12.43
Blend,USD,3160000000.0,0.16,3,2003-12-30,97352,Medium,13.37
Value,USD,2030000000.0,2.67,5,2010-05-27,111275,Large,7.08
Blend,USD,350020000.0,2.66,,2005-04-28,123758,Large,5.9
Blend,USD,103490000.0,0.0,3,2008-01-30,85796,Large,4.24
Value,USD,468390000.0,1.48,2,2011-10-30,190502,Large,12.15
Growth,USD,540350000.0,0.0,3,1999-05-02,163907,Small,19.53
Blend,USD,5270000000.0,1.36,4,2007-04-29,123146,Large,13.48
Blend,USD,1860000000.0,0.69,2,2005-03-31,154367,Large,7.29
Value,USD,8880000000.0,5.83,3,1998-11-12,177758,Small,7.18
Growth,USD,575110000.0,3.13,3,2003-10-02,119555,Medium,5.57
Blend,USD,309840000.0,1.73,4,2013-08-19,237113,Large,7.46
Blend,USD,9980000.0,2.61,2,2011-01-30,167714,Large,10.99
Growth,USD,1220000000.0,0.0,3,2013-05-30,120671,Medium,15.06
Blend,USD,119930000.0,1.86,2,2004-03-29,127430,Large,6.79
Growth,USD,4590000000.0,0.0,,1993-05-06,113570,Medium,17.54
,USD,946410000.0,1.15,4,1995-10-01,182852,,2.43
Blend,USD,1340000000.0,2.9,,2014-03-31,151613,Medium,3.45
Blend,USD,2850000000.0,1.29,3,2007-11-29,97658,Large,9.3
Value,USD,115370000.0,2.57,3,2012-12-18,119852,Medium,1.71
Blend,USD,118130000.0,2.3,2,2006-07-31,87857,Large,10.28
Blend,USD,7410000.0,2.51,3,2016-08-21,105461,Large,7.71
Blend,USD,676860000.0,3.09,,2016-03-17,203822,Medium,3.25
Value,USD,1160000000.0,2.33,2,2001-03-29,47060,Large,2.3
Blend,USD,3660000.0,1.21,,2007-07-01,185966,Large,3.77
Growth,USD,233040000.0,0.0,2,1998-03-31,214145,Medium,18.46
Growth,USD,4590000000.0,0.0,3,2006-06-26,113948,Medium,17.65
,USD,470120000.0,2.45,4,2015-07-30,105218,,0.68
Blend,USD,10840000.0,2.48,,2016-09-25,172340,Large,7.95
Value,USD,802440000.0,2.41,4,2008-01-30,218591,Medium,8.97
Value,USD,376360000.0,0.53,1,2003-11-02,27809,Large,10.37
Blend,USD,1870000000.0,4.3,4,2006-11-29,198377,Large,26.56
Value,USD,6350000000.0,3.14,5,2008-06-05,189494,Small,2.8
,USD,20040000.0,4.22,0,2017-01-02,115217,,6.93
Value,USD,1570000000.0,0.0,2,1999-06-20,246194,Small,19.5
Blend,USD,40040000.0,2.26,,2016-12-12,183815,Large,7.14
Value,USD,218750000.0,3.18,3,1988-10-02,95669,Medium,1.79
Blend,USD,39160000.0,1.26,1,2002-09-29,189962,Medium,2.45
Growth,USD,7730000000.0,0.64,4,2015-12-16,232811,Medium,12.09
Blend,USD,131010000.0,2.78,3,2009-04-14,121229,Large,7.09
Blend,USD,5270000000.0,4.42,,2007-01-15,196298,Small,6.11
Value,USD,511390000.0,5.62,4,2000-09-04,67472,Small,6.97
Blend,USD,99960000.0,1.22,2,2015-08-23,145556,Large,9.52
Growth,USD,108990000.0,0.0,,1993-11-07,34136,Medium,20.25
Value,USD,471230000.0,6.67,,2017-02-27,109466,Small,4.06
Blend,USD,275630000.0,0.94,4,2005-07-28,30752,Large,13.49
Growth,USD,7210000000.0,0.86,,2002-07-30,73871,Large,17.58
Value,USD,784840000.0,2.68,,1987-10-19,86174,Large,0.49
Value,USD,4020000000.0,2.16,4,2002-09-29,72260,Large,0.46
Value,USD,511390000.0,5.17,3,2004-10-31,161459,Small,6.89
Blend,USD,297820000.0,2.25,4,2008-05-29,145988,Large,8.5
Blend,USD,554970000.0,3.4,3,2017-03-15,206936,Large,14.48
Blend,USD,15550000.0,0.3,2,2000-06-18,75248,Large,24.08
Growth,USD,127600000.0,3.3,,1993-05-02,244736,Medium,5.09
Growth,USD,12100000.0,0.33,0,2017-12-27,40103,Large,14.46
,USD,6640000000.0,1.44,3,1997-04-30,103787,,1.34
Growth,USD,104610000.0,0.59,5,1992-10-27,76985,Large,16.3
Value,USD,407740000.0,5.3,,2016-11-02,246086,Small,4.12
Value,USD,12210000.0,6.15,,2014-08-28,120221,Medium,17.81
Value,USD,1770000000.0,1.15,4,2005-02-28,52100,Large,10.17
Growth,USD,33560000.0,0.95,,2000-08-29,101141,Large,10.85
Growth,USD,66000000000.0,0.0,3,2002-02-18,51173,Large,12.47
Blend,USD,1240000000.0,1.07,4,2008-11-27,68372,Large,10.07
Value,USD,5030000000.0,2.91,3,2012-05-17,56582,Large,7.1
Blend,USD,903210000.0,2.65,3,1995-04-30,79055,Large,2.43
Growth,USD,10960000000.0,0.31,,1959-01-05,247976,Large,16.21
Blend,USD,2590000000.0,2.34,,2007-01-15,186092,Large,5.44
Value,USD,455980000.0,2.66,2,1995-04-30,83582,Medium,2.29
Growth,USD,13500000000.0,1.01,5,2007-05-30,211112,Large,11.19
Growth,USD,16640000.0,0.0,2,2013-12-18,171953,Large,2.71
Blend,USD,2390000000.0,3.01,4,2005-10-13,131345,Large,5.52
Growth,USD,332950000.0,0.0,,2017-11-19,61748,Small,16.65
Growth,USD,1410000000.0,0.45,4,2015-03-26,204974,Large,11.26
Value,USD,46100000.0,1.01,1,2016-03-17,80963,Medium,0.34
Blend,USD,3480000000.0,0.0,4,2012-09-23,34055,Large,8.37
Value,USD,360290000.0,3.92,,2009-11-16,71567,Small,4.54
Value,USD,39510000.0,3.43,3,2015-07-07,50804,Large,2.23
Growth,USD,900130000.0,0.0,,1998-06-28,231668,Small,5.82
Growth,USD,2110000000.0,2.4,3,2004-06-27,47969,Large,3.23
Value,USD,910530000.0,0.31,2,2003-06-30,239030,Large,13.92
,USD,127190000.0,2.62,,2013-04-25,95606,,1.38
Value,USD,3570000000.0,5.67,3,2013-02-28,201455,Small,6.47
Value,USD,9710000.0,2.13,0,2016-12-13,202157,Large,8.34
Growth,USD,147830000.0,0.0,1,1998-05-03,213920,Small,9.27
Blend,USD,264900000.0,0.91,3,2013-12-04,166202,Large,8.89
Blend,USD,38200000.0,0.0,,2015-04-20,199727,Large,7.78
Blend,USD,6710000000.0,1.61,,1991-09-30,52055,Large,9.73
Blend,USD,18880000.0,0.0,1,2006-04-30,215162,Large,7.12
Blend,USD,140180000000.0,1.81,,2001-03-14,42506,Large,7.86
Growth,USD,4150000000.0,0.74,2,2007-04-01,116819,Large,11.87
Growth,USD,791960000.0,6.64,0,2016-07-28,205748,Small,4.79
Value,USD,1110000000.0,5.79,5,2016-06-29,173150,Large,7.69
Blend,USD,184330000.0,2.29,4,2013-11-06,135494,Large,11.75
