10years_category_r_squared,10yrs_sharpe_ratio_fund,10_years_alpha_fund,10years_fund_r_squared,10years_fund_std,10yrs_sharpe_ratio_category,10_years_beta_fund,10yrs_treynor_ratio_fund,fund_id,10_years_return_mean_annual_category,10yrs_treynor_ratio_category,10_years_return_fund,10_years_alpha_category,10_years_beta_category,10years_category_std,10_years_return_mean_annual_fund,10_years_return_category
0.92,1.02,-0.77,98.2,9.13,0.01,1.11,8.34,02886928-81a6-41dc-ad75-35c4d592c4c1,0.01,0.09,9.74,-0.0,0.01,0.09,0.81,9.98
0.94,1.17,-0.24,98.83,12.51,0.01,0.98,15.18,7ea07699-4277-425e-9778-8f6da8d00caa,0.01,0.14,15.33,-0.01,0.01,0.13,1.26,14.54
0.85,1.17,0.5,88.64,12.62,0.01,0.94,15.97,35765507-55a1-4fd0-8519-359395e0d61e,0.01,0.12,15.41,-0.03,0.01,0.16,1.27,14.46
0.88,1.0,-1.11,79.83,15.14,0.01,1.07,14.03,5b8dbd3f-57ec-4f8a-bda9-d5101076ff2c,0.01,0.15,15.4,-0.01,0.01,0.14,1.3,15.94
0.88,1.06,-0.46,83.12,14.8,0.01,1.06,14.78,bd87a7a0-6ca5-4607-a0cf-d396ecd6037a,0.01,0.15,16.15,-0.01,0.01,0.14,1.35,15.94
0.88,,,,,0.01,,,1e102511-7f67-41a6-8ced-5abcf365db47,0.01,0.12,0.0,0.03,0.01,0.16,,11.52
0.17,,,,,0.01,,,2af69449-1fe6-40dc-a447-3d8f78780a47,0.01,0.07,0.0,0.04,0.01,0.08,,8.24
0.93,0.96,-0.5,94.04,3.66,0.01,0.95,3.72,56c89dc6-9172-41a6-a5a1-a28a586e0188,0.0,0.04,3.99,-0.0,0.01,0.04,0.33,4.08
0.54,,,,,-0.0,,,4eaaa6c3-1f3d-4848-b406-472539eb1565,-0.0,-0.05,0.0,-0.04,0.01,0.09,,-2.76
0.88,1.04,-1.13,87.85,14.55,0.01,1.07,14.14,76dd3d2b-4997-4b04-9bd3-7ec50fd1b277,0.01,0.15,15.63,-0.01,0.01,0.14,1.31,15.94
0.73,,,,,0.01,,,498ad700-9f32-4e4d-900e-d722a81571be,0.01,0.09,0.0,-0.01,0.01,0.09,,7.75
0.39,1.42,0.64,53.47,1.08,0.01,0.28,5.59,1a766afc-a54d-44b6-b4de-bfee080b6ae2,0.0,0.04,2.03,0.01,0.0,0.02,0.17,2.7
0.88,1.14,0.35,85.93,13.26,0.01,0.97,15.74,3442abe9-30ea-44c7-91f7-fae4ae84a809,0.01,0.15,15.69,-0.01,0.01,0.14,1.29,15.94
0.64,1.14,0.17,88.47,2.22,0.01,0.56,4.58,194d8c53-938d-4818-9949-c45d1da1a6d9,0.0,0.04,3.03,-0.0,0.0,0.01,0.25,1.72
0.9,1.06,-1.37,94.75,13.28,0.01,1.02,13.89,dc4a7103-c07d-49af-a8d3-2dbd961ba62c,0.01,0.14,14.61,-0.02,0.01,0.13,1.22,13.68
0.0,,,,,0.01,,,ff65fbcc-f453-49bf-8da6-45c73087541b,0.01,4.68,0.0,0.06,0.0,0.05,,6.69
0.75,1.67,2.05,68.71,2.87,0.01,0.84,5.84,67ce5991-ada7-448e-a420-e2c85ff7edff,0.0,0.05,5.35,0.01,0.01,0.03,0.44,4.56
0.64,0.94,-0.33,89.65,2.49,0.01,0.63,3.73,6067327a-aace-4dfa-9503-c90226ef14e6,0.0,0.04,2.81,-0.0,0.0,0.01,0.23,1.72
0.94,0.96,0.39,78.05,6.76,0.01,0.7,9.26,5dc178b5-d121-4cbd-b9d7-a0f8c04acf05,0.01,0.09,6.9,-0.0,0.01,0.08,0.58,9.23
0.73,0.85,-2.17,85.44,12.08,0.01,1.37,7.28,d0ddbc65-8c8a-48a5-a1e7-3fa001c6d293,0.01,0.09,10.45,-0.01,0.01,0.09,0.89,7.75
0.93,0.38,-3.34,93.1,17.82,0.01,1.09,4.93,60233728-29bb-467f-8203-89790da78d57,0.01,0.08,5.83,-0.01,0.01,0.16,0.6,8.08
0.95,1.15,0.5,93.51,6.88,0.01,0.82,9.75,c8d53d1b-da37-4500-be45-0efe838d371a,0.01,0.09,8.44,0.0,0.01,0.07,0.7,8.16
0.82,0.59,0.94,82.78,18.15,0.01,1.05,9.04,825479d8-f5f4-4410-bfe6-917aa2ee3d31,0.01,0.08,9.92,-0.0,0.01,0.19,0.93,8.92
0.17,,,,,0.01,,,89b75095-99e7-41b3-984a-e72c916aa997,0.01,0.07,0.0,0.04,0.01,0.08,,8.24
0.82,1.05,-0.9,87.06,13.57,0.01,1.0,14.32,8ef778e5-8b35-41da-8396-c8f1c6257398,0.01,0.14,14.73,-0.02,0.01,0.16,1.23,15.7
0.9,0.87,-3.91,91.95,13.86,0.01,1.05,11.17,459210b5-407b-408f-b310-f83a52449fc0,0.01,0.14,12.15,-0.02,0.01,0.13,1.04,13.68
0.9,1.15,0.09,90.87,11.99,0.01,0.9,15.5,c77f416f-2c80-4e04-8533-32f9cdcfa66c,0.01,0.14,14.4,-0.02,0.01,0.13,1.19,13.68
0.93,1.1,-0.08,97.01,4.21,0.01,1.11,4.2,ee7a1113-2508-40fa-889c-e5590984f2f2,0.0,0.04,5.12,-0.0,0.01,0.04,0.42,4.08
0.01,,,,,0.0,,,ca6fc679-a273-48dd-b491-6a8582b7604d,0.0,-0.1,0.0,0.01,0.0,0.04,,1.48
0.82,,,,,0.01,,,16fec214-fcbf-4b91-a3a1-48a7f87b89c7,0.01,0.14,0.0,-0.02,0.01,0.16,,15.7
0.85,0.92,-2.96,83.34,17.47,0.01,1.26,12.55,73b2450e-9181-4a32-882b-8f9d56dc5dae,0.01,0.12,16.22,-0.03,0.01,0.16,1.38,14.46
0.01,,,,,0.0,,,36bae204-f7d2-403c-bc35-fc7381e75f45,0.0,-0.1,0.0,0.01,0.0,0.04,,1.48
0.88,1.15,0.12,90.38,14.44,0.01,1.08,15.5,d1524662-ff28-49a9-86ec-93406776a94b,0.01,0.15,17.21,-0.01,0.01,0.14,1.42,15.94
0.44,1.07,10.51,32.26,14.22,0.01,0.51,29.86,eee8a126-b80e-49dd-8dc4-cba8499392b7,0.01,0.17,15.77,0.05,0.01,0.14,1.31,10.3
0.64,,,,,0.01,,,24bd7a22-f566-4f9f-9b99-e5dacdccc445,0.0,0.04,0.0,-0.0,0.0,0.01,,1.72
0.94,0.61,0.65,92.82,14.75,0.01,0.9,9.18,ca87a6fb-78c9-47d8-b147-c6acd4ee68bf,0.01,0.08,8.73,-0.0,0.01,0.16,0.79,8.43
0.82,1.05,-0.5,81.62,16.66,0.01,1.18,14.75,c3f1b3a9-97bd-425e-968d-51272c009fbe,0.01,0.14,17.92,-0.02,0.01,0.16,1.5,15.7
0.88,1.01,-1.86,91.57,13.94,0.01,1.05,13.37,0db40d9b-ffe7-48ad-b0fb-b5862e5dd88d,0.01,0.15,14.49,-0.01,0.01,0.14,1.21,15.94
0.73,0.98,-0.23,68.76,16.7,0.01,1.09,14.77,92b777e3-c457-41ae-aa25-7b3676b0b7c3,0.01,0.13,16.56,-0.02,0.01,0.18,1.4,16.24
0.75,,,,,0.01,,,7afe196e-8d4a-4a20-bf80-2e39aac2cf89,0.0,0.05,0.0,0.01,0.01,0.03,,4.56
0.9,,,,,0.01,,,383e2b34-42bb-4489-bc02-432918eebba5,0.01,0.14,0.0,-0.02,0.01,0.13,,13.68
0.9,0.95,-2.99,93.71,14.31,0.01,1.09,12.29,70af2703-033d-439d-97db-2b6eff5557fb,0.01,0.14,13.87,-0.02,0.01,0.13,1.17,13.68
0.94,1.05,-1.63,95.9,13.02,0.01,1.0,13.59,20a25ac0-a4f3-425e-aa7e-1e67ba97f679,0.01,0.14,14.11,-0.01,0.01,0.13,1.18,14.54
0.73,,,,,0.01,,,72787655-d7ff-4979-93e5-7bcaaf79d90d,0.01,0.09,0.0,-0.01,0.01,0.09,,7.75
0.87,1.04,-0.26,95.0,5.56,0.01,0.67,8.67,7fc4f86a-d48d-4406-88ea-d5d6ffb591c6,0.01,0.1,6.24,0.01,0.01,0.05,0.52,6.62
0.03,1.24,7.23,2.89,6.9,0.01,0.41,21.17,5ebce003-07ad-4c12-8c3c-a3ac0d556649,0.01,0.23,9.16,0.08,0.0,0.07,0.75,9.49
0.76,0.95,-1.81,77.38,17.29,0.01,1.2,13.42,d2ff1df9-1c43-41ca-a5cd-b863d7657eef,0.01,0.12,16.53,-0.03,0.01,0.17,1.41,14.67
,,,,,,,,474951b8-2b60-4d6c-bdc6-102b3ad5cf43,,,,,,,,
0.73,0.91,-2.67,77.68,18.11,0.01,1.26,12.69,ebfe3b47-c5e4-4ad7-9b76-e65ddceafb11,0.01,0.13,16.41,-0.02,0.01,0.18,1.41,16.24
0.58,1.37,0.96,62.9,2.12,0.01,0.59,4.97,8822d01c-5b0b-4e94-8a9e-61806696ebfe,0.01,0.05,3.39,0.02,0.01,0.04,0.28,6.44
0.94,0.9,-3.91,97.25,13.72,0.01,1.07,11.29,3558d265-55fa-4b59-9abe-6c5d2fc7296c,0.01,0.14,12.49,-0.01,0.01,0.13,1.06,14.54
0.84,1.05,5.87,81.77,11.39,0.01,0.65,18.29,20517f29-4363-4abc-9806-23658e56be88,0.01,0.14,12.41,0.04,0.01,0.14,1.03,11.79
0.82,1.05,-1.01,86.78,15.34,0.01,1.13,14.28,7210b045-d2f4-4a9b-a17b-31bafb60912b,0.01,0.14,16.54,-0.02,0.01,0.16,1.38,15.7
0.88,1.16,0.87,85.23,14.68,0.01,1.07,16.26,8e9fafea-bc03-4e14-8d26-62073e80c4b8,0.01,0.15,17.8,-0.01,0.01,0.14,1.46,15.94
0.85,,,,,0.01,,,f65480d9-9f54-46d7-9f87-1ef965bdb2d9,0.01,0.13,0.0,-0.03,0.01,0.15,,14.51
0.53,0.55,-1.06,44.33,4.9,0.01,1.14,2.3,e6c6f999-7955-47a8-8ac0-8db4b99c7c76,0.0,0.02,3.08,-0.01,0.01,0.04,0.26,3.01
0.21,1.47,7.63,3.74,6.11,0.01,0.42,22.21,268feff6-50f7-4c79-97a6-c9ed54ed0a9f,0.01,-0.02,9.67,0.04,0.01,0.05,0.79,6.69
0.73,,,,,0.01,,,3889e2f5-6724-455a-bf5a-a33680b6100e,0.01,0.09,0.0,-0.01,0.01,0.09,,7.75
0.94,0.96,-1.34,96.68,10.07,0.01,1.22,7.89,f871f1b7-5d29-4f88-90a0-92209c022e03,0.01,0.09,10.06,-0.0,0.01,0.08,0.84,9.23
0.28,,,,,0.01,,,fbbbf9ea-9e2d-415a-bb6e-e97d19cf3cd3,0.0,0.11,0.0,0.01,0.01,0.06,,3.95
0.84,,,,,0.01,,,e585c9f1-1df0-417b-b7cc-ee5041a3c58b,0.01,0.14,0.0,0.04,0.01,0.14,,11.79
0.01,,,,,0.01,,,7a08d5b8-4595-48f0-abe4-c0d58925a9ce,0.01,-0.19,0.0,0.07,-0.0,0.07,,6.15
0.75,1.2,0.77,70.38,3.28,0.01,0.97,4.13,755bec3a-15fd-45b5-b021-97a690a9be94,0.0,0.05,4.45,0.01,0.01,0.03,0.37,4.56
0.82,1.12,0.02,86.98,14.4,0.01,1.06,15.36,0ee54768-8ab5-4883-98cf-f6c96543f201,0.01,0.14,16.69,-0.02,0.01,0.16,1.38,15.7
0.89,0.48,-5.99,74.61,12.57,0.01,1.34,4.07,681a783a-d37b-4a60-af0f-6f6f72c54a06,0.01,0.07,5.88,-0.02,0.01,0.1,0.54,8.38
0.8,-1.52,-3.92,99.64,12.28,-0.01,-0.96,18.45,8aff4a04-a820-4273-9e8b-91e19a05564f,-0.02,0.16,-17.34,-0.01,-0.02,0.24,-1.51,-24.99
0.94,1.11,-0.45,90.55,13.9,0.01,1.04,14.88,92e6f881-9605-4f86-846b-2d5344ff0a7c,0.01,0.14,15.96,-0.01,0.01,0.13,1.32,14.54
0.84,0.73,3.0,81.88,15.38,0.01,0.88,11.94,51eac1c0-7c8a-46bf-8d40-f4c984025ff8,0.01,0.14,11.0,0.04,0.01,0.14,0.97,11.79
0.93,0.63,-1.59,93.89,3.36,0.01,0.87,2.39,6a5a6b08-8f11-452e-8b52-23809b05c1ba,0.0,0.04,2.53,-0.0,0.01,0.04,0.21,4.08
0.56,0.35,-6.99,65.98,20.54,0.0,1.2,4.43,6ff2bdc2-bc52-4124-81e4-25e8a9c9cb10,0.01,0.02,5.76,-0.11,0.01,0.26,0.64,2.97
0.92,1.05,-0.26,95.76,4.12,0.01,1.08,4.01,7bb6cb6d-02c3-41b8-8793-77e1c276021b,0.0,0.04,4.79,-0.0,0.01,0.05,0.4,5.05
0.75,1.24,0.3,97.08,2.97,0.01,1.03,3.62,6d454f4d-a9dd-41a3-a2c8-6a002063df39,0.0,0.05,4.18,0.01,0.01,0.03,0.35,4.56
0.91,0.62,0.82,91.28,14.68,0.01,0.89,9.39,c6cd6c54-a410-41c6-9dbb-8234396e1269,0.01,0.1,8.8,0.02,0.01,0.15,0.8,9.97
0.9,0.91,-1.84,80.56,11.39,0.01,0.81,12.75,5a6923ab-1d8f-48b2-900f-9c044f407457,0.01,0.14,10.73,-0.02,0.01,0.13,0.91,13.68
0.17,,,,,0.01,,,b72f200b-8556-479c-89d4-d690519e0df3,0.01,0.07,0.0,0.04,0.01,0.08,,8.24
0.76,0.87,-2.65,73.28,17.0,0.01,1.15,12.45,238d8be3-6e22-49fb-a5f6-8654d895bb44,0.01,0.12,14.73,-0.03,0.01,0.17,1.27,14.67
0.91,1.52,3.25,86.93,6.76,0.01,0.78,13.6,1c1ac0e4-7759-4421-986c-c5be1bb964b9,0.01,0.1,11.02,0.0,0.01,0.07,0.89,7.87
0.73,,,,,0.01,,,6e19c8c4-10ee-4b82-a452-17b15bd2804a,0.01,0.09,0.0,-0.01,0.01,0.09,,7.75
0.71,0.65,-1.51,75.78,16.64,0.01,1.04,9.58,05f7b7e8-9e68-4cc0-b89a-abc65af420c6,0.01,0.13,10.41,0.02,0.01,0.16,0.94,13.14
0.82,0.55,0.34,81.54,18.44,0.01,1.06,8.39,074712ad-cce2-4d33-9f41-0b86fdc92cf4,0.01,0.08,9.31,-0.0,0.01,0.19,0.88,8.92
0.91,,,,,0.01,,,10fff804-9d52-4b9d-b0a0-bf3980b16940,0.01,0.1,0.0,0.02,0.01,0.15,,9.97
0.82,0.47,-1.43,85.83,18.05,0.01,1.06,6.66,5ae9e7a8-c078-4bd4-9559-6766ea130a23,0.01,0.08,7.52,-0.0,0.01,0.19,0.74,8.92
0.93,,,,,0.01,,,7c3cc20c-2d0c-4080-9e63-adb780287ae5,0.01,0.08,0.0,-0.01,0.01,0.11,,11.09
0.81,,,,,0.01,,,798b4c99-deae-47af-a8ea-a38d4083ec89,0.01,-0.14,0.0,0.01,0.0,0.05,,6.24
0.9,,,,,0.01,,,692c0807-a9fc-49e3-bc9c-5aca8fe77049,0.01,0.14,0.0,-0.02,0.01,0.13,,13.68
0.94,1.03,-1.9,95.68,13.53,0.01,1.04,13.35,757f058f-1cb2-4f35-8a1c-f824c4c82fa2,0.01,0.14,14.38,-0.01,0.01,0.13,1.2,14.54
0.94,,,,,0.01,,,815398d8-16fa-4abc-9c69-27e12adb53d3,0.01,0.14,0.0,-0.01,0.01,0.13,,14.54
0.93,1.05,0.03,84.54,4.34,0.01,1.07,4.29,3e76fcea-3daa-41dc-a59a-adebc820fccf,0.0,0.04,5.04,-0.01,0.01,0.03,0.42,3.53
0.28,0.62,-0.34,35.38,5.35,0.01,1.12,2.92,62ee0a78-a4db-4939-b341-b059203e7b2d,0.0,0.11,3.71,0.01,0.01,0.06,0.32,3.95
0.97,0.95,-1.75,97.88,11.46,0.01,1.4,7.7,8db09531-05fb-43cc-8c95-4055c8561881,0.01,0.08,11.19,-0.02,0.01,0.12,0.94,11.53
0.88,,,,,0.01,,,145903fb-cc71-414c-b6df-c5bae0e418ec,0.01,0.15,0.0,-0.01,0.01,0.14,,15.94
0.82,,,,,0.01,,,382a9363-b362-4967-959d-8bed0851c7a0,0.01,0.08,0.0,-0.0,0.01,0.19,,8.92
0.63,0.53,1.39,62.08,20.16,0.01,1.01,9.06,628effc9-9bfd-4fd2-8365-44fde94f6fcd,0.01,0.1,9.58,0.02,0.01,0.21,0.93,10.53
0.92,0.96,-0.45,89.96,3.92,0.01,1.0,3.79,4238bc1f-8600-4df6-b580-4226f3cfabef,0.0,0.04,4.23,-0.01,0.01,0.04,0.35,4.22
0.75,1.45,1.65,67.79,3.29,0.01,0.96,5.1,51e160b2-189f-47ab-b024-1e54e6de626a,0.0,0.05,5.32,0.01,0.01,0.03,0.44,4.56
0.94,0.64,1.09,95.02,16.44,0.01,1.02,9.5,4c382993-27b1-4d88-948d-a2ec149401af,0.01,0.08,10.11,-0.0,0.01,0.16,0.92,8.43
0.88,1.1,-0.47,89.7,13.56,0.01,1.01,14.84,ce65690e-708c-4cff-9a7c-15f3c23bf97b,0.01,0.15,15.46,-0.01,0.01,0.14,1.28,15.94
0.76,0.82,-4.33,79.18,17.25,0.01,1.21,11.09,5eaad946-76e1-4f01-9ad4-1b24ca9687cf,0.01,0.12,13.88,-0.03,0.01,0.17,1.21,14.67
0.91,0.63,1.04,85.41,12.15,0.01,0.71,10.07,30c7cfb3-a220-4d2b-89d8-3795f446e81f,0.01,0.1,7.61,0.02,0.01,0.15,0.67,9.97
0.49,,,,,0.01,,,2bc424f8-5d45-4253-a000-b37aa197d248,0.01,0.21,0.0,0.06,0.01,0.13,,14.3
0.75,,,,,0.01,,,0105d97c-f0c7-41ce-b757-8a7c1d93fad8,0.0,0.05,0.0,0.01,0.01,0.03,,4.56
0.92,1.13,0.42,94.77,8.3,0.01,1.0,9.54,9f86e53c-ea96-493a-98ef-1e7e8dd03a5f,0.01,0.09,9.95,-0.0,0.01,0.09,0.82,9.98
0.07,1.11,4.47,3.39,4.96,0.01,0.32,17.32,13e1e74f-8873-4066-9304-4bdcd55a12b0,0.0,0.14,6.02,0.04,0.0,0.04,0.5,4.99
0.03,,,,,0.01,,,c2fdcaee-cc29-4ccb-9a15-377f24d103ca,0.01,0.23,0.0,0.08,0.0,0.07,,9.49
0.75,1.48,1.47,73.51,2.97,0.01,0.9,5,6da77beb-12e2-4b66-afe6-26a67b02bf66,0.0,0.05,4.94,0.01,0.01,0.03,0.41,4.56
0.0,1.36,6.86,0.01,5.05,0.01,0.02,443.72,32c18d92-83b7-4609-aa5f-ce343eb1f36d,0.01,4.68,7.48,0.06,0.0,0.05,0.61,6.69
0.49,,,,,0.01,,,36a40519-1384-4567-830c-8ead7b24ce2a,0.01,0.21,0.0,0.06,0.01,0.13,,14.3
0.46,0.94,6.54,45.66,17.96,0.01,0.87,19,adac895a-0649-41c2-b087-11e91db1d644,0.01,0.19,17.01,0.07,0.01,0.18,1.45,17.24
0.96,,,,,0.01,,,b06460a2-9dad-433e-b7fd-967f3213771a,0.01,0.09,0.0,-0.0,0.01,0.08,,8.81
0.21,1.31,4.07,18.13,4.95,0.01,0.74,8.92,1a9961d4-5def-42de-acc8-6d8285800763,0.01,-0.02,7.06,0.04,0.01,0.05,0.58,6.69
0.17,,,,,0.01,,,193adb5f-c064-4df4-97db-f5ff76e949b4,0.01,0.07,0.0,0.04,0.01,0.08,,8.24
0.84,1.01,6.1,89.82,13.62,0.01,0.82,16.63,a2757f50-6251-4429-bd19-8118d184afca,0.01,0.14,14.07,0.04,0.01,0.14,1.18,11.79
0.97,,,,,0.01,,,05029198-382e-4ed6-9875-f4a7b8dc727d,0.01,0.08,0.0,-0.02,0.02,0.13,,12.71
0.61,0.47,-0.42,68.96,0.85,0.01,0.25,1.61,f187bb90-7032-41cc-9c7c-98882535bdf9,0.0,0.02,0.85,-0.0,0.0,0.01,0.07,1.23
0.9,1.08,-0.26,84.41,11.2,0.01,0.81,14.96,6f2b4916-743b-44fa-b6ac-4ed7871b299c,0.01,0.14,12.59,-0.02,0.01,0.13,1.05,13.68
0.95,0.98,-1.41,97.14,12.69,0.01,1.54,8.06,1f24e7b5-3364-4bba-9b8c-087c88e87ccc,0.01,0.08,12.85,-0.02,0.01,0.12,1.08,12.02
0.95,1.14,0.37,95.57,7.35,0.01,0.89,9.55,0930626e-1945-4fc2-b9da-348819c7894b,0.01,0.09,8.9,0.0,0.01,0.07,0.74,8.16
0.94,1.18,-0.19,99.99,12.71,0.01,1.0,15.26,0374c2b6-6bb7-48a5-b105-42dbd6d52414,0.01,0.14,15.73,-0.01,0.01,0.13,1.29,14.54
0.92,0.88,-1.9,97.23,8.87,0.01,1.08,7.18,e9e8fac7-d583-4a42-a0f2-f8f0cd2934e9,0.01,0.09,8.18,-0.0,0.01,0.09,0.69,9.98
0.84,,,,,0.01,,,3fc1c553-ae1f-4300-afba-d7cdbf5c23f8,0.01,0.14,0.0,0.04,0.01,0.14,,11.79
0.87,0.56,0.64,73.02,12.4,0.01,0.67,9.4,89df754e-f7f7-4675-b3a8-762474224013,0.01,0.09,6.77,0.0,0.01,0.17,0.61,9.26
0.75,1.64,3.26,54.92,4.14,0.01,1.08,6.45,827c17ac-3a75-40ac-b1c1-73d492a6b929,0.0,0.05,7.43,0.01,0.01,0.03,0.61,4.56
0.81,1.2,0.76,92.33,5.5,0.01,0.65,10.32,bacdf680-3a8b-4425-a150-31570cba3642,0.01,-0.14,7.17,0.01,0.0,0.05,0.59,6.24
0.06,1.31,11.67,2.86,10.47,0.01,0.62,22.69,8c9328dd-a36c-48aa-9b65-19e5fc439c6e,0.01,0.16,14.56,0.1,0.01,0.1,1.18,13.08
0.03,,,,,0.01,,,9749d683-547a-4ed7-841e-09a3de4a01bf,0.01,0.23,0.0,0.08,0.0,0.07,,9.49
0.0,,,,,0.0,,,ba4be46e-ab21-4ca2-946c-6ba3891560ac,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
0.53,0.64,-1.27,62.3,4.62,0.01,1.28,2.26,7dc89c2f-d5f2-4a5b-9a56-72a5ea672a99,0.0,0.02,3.34,-0.01,0.01,0.04,0.28,3.01
0.91,,,,,0.01,,,77d91b28-79af-4ca9-b948-811983c98536,0.01,0.1,0.0,0.0,0.01,0.07,,7.87
0.97,,,,,0.01,,,2d39e407-303e-4595-8597-219fc595bf59,0.01,0.08,0.0,-0.01,0.01,0.1,,10.25
0.73,,,,,0.01,,,4a0f9102-f0ff-4873-a2a8-5fa213f3858a,0.01,0.11,0.0,-0.04,0.01,0.18,,14.12
0.94,0.99,-0.25,88.43,3.33,0.01,0.84,3.95,22283368-e365-40ba-8d5e-4510514ea860,0.0,0.04,3.77,-0.01,0.01,0.04,0.31,4.13
0.89,0.77,-1.6,75.07,8.31,0.01,0.88,7.06,66cbec5c-92a5-4595-9b9d-ed40dc278680,0.01,0.07,6.69,-0.02,0.01,0.1,0.57,8.38
0.82,1.08,-0.7,88.96,15.34,0.01,1.14,14.66,b3a01e82-498d-4ca0-afc4-757400df6594,0.01,0.14,17.15,-0.02,0.01,0.16,1.42,15.7
0.93,,,,,0.01,,,251257eb-6275-4e39-8f84-e9dd5b4e8c97,0.0,0.04,0.0,-0.0,0.01,0.04,,4.08
0.71,0.95,3.84,68.5,15.96,0.01,0.95,15.67,0ae14641-5eb5-462d-b306-aa86e9f74fba,0.01,0.13,15.31,0.02,0.01,0.16,1.3,13.14
0.29,1.14,8.38,21.7,11.26,0.01,0.38,34.5,95ecafaa-e790-4bc3-9105-a5f8d6f6e94d,0.01,0.3,13.44,0.07,0.0,0.11,1.11,12.25
0.78,0.82,5.38,74.41,16.98,0.01,0.93,14.44,dacc1c90-c577-4196-aec7-d0749d7b69e1,0.01,0.12,13.87,0.03,0.01,0.18,1.21,11.63
0.93,1.09,-0.08,96.01,3.22,0.01,0.85,4.17,6730892d-5a2d-4a4a-97e2-8135618b8ce0,0.0,0.04,3.98,-0.01,0.01,0.03,0.33,3.53
0.73,0.82,-4.39,77.79,18.33,0.01,1.28,11.19,31643189-b9af-4374-9593-42eb6259ad5f,0.01,0.11,14.71,-0.04,0.01,0.18,1.29,14.12
0.92,1.07,-0.22,97.63,9.24,0.01,1.12,8.89,ee841dfc-3e23-47ea-8210-aa6e6203b4e2,0.01,0.09,10.44,-0.0,0.01,0.09,0.87,9.98
0.92,1.21,0.35,95.86,3.64,0.01,0.96,4.65,104d1a41-bf1e-466a-a157-a3d11f8df298,0.0,0.04,4.89,-0.01,0.01,0.04,0.4,4.22
0.95,0.8,-1.92,89.66,11.4,0.01,1.26,6.99,c77bf94f-d73b-4dfb-a171-b3027be62eb8,0.01,0.08,9.24,-0.02,0.01,0.12,0.79,12.02
0.73,0.84,-3.29,73.19,17.31,0.01,1.17,11.85,281e7cbd-7ff7-4a5c-b673-45b8e30bbf1b,0.01,0.13,14.27,-0.02,0.01,0.18,1.24,16.24
0.9,1.16,0.2,94.41,3.58,0.01,0.93,4.49,8387c960-769d-49c9-86d6-4d585a478ae3,0.0,0.04,4.64,-0.0,0.01,0.04,0.38,4.69
0.92,1.08,0.12,87.25,4.63,0.01,1.16,4.37,c7d88832-3ab0-488b-bd2c-309bbb7fa5c0,0.0,0.04,5.51,-0.0,0.01,0.05,0.46,5.05
0.9,1.18,0.79,85.65,11.01,0.01,0.8,16.43,cb6b9745-3c32-4a8b-b827-833a653727ed,0.01,0.14,13.63,-0.02,0.01,0.13,1.12,13.68
0.81,,,,,0.01,,,35d6aec2-0e02-4f81-a3b7-ed4be19e9610,0.01,-0.14,0.0,0.01,0.0,0.05,,6.24
0.93,,,,,0.01,,,f0bfd69c-5dbf-4d87-bc92-5649f594fbd8,0.01,0.08,0.0,-0.01,0.01,0.16,,8.08
0.85,0.92,-2.79,89.59,12.69,0.01,0.95,12.06,4417a487-f91d-4352-82e8-4a93e7891f8f,0.01,0.12,11.88,-0.03,0.01,0.16,1.01,14.46
0.76,,,,,0.01,,,5070591f-d8e7-424c-b771-d5302bc99940,0.01,0.12,0.0,-0.03,0.01,0.17,,14.67
0.75,,,,,0.01,,,cb069bc1-4670-437d-bdf0-56732998103e,0.0,0.05,0.0,0.01,0.01,0.03,,4.56
0.9,,,,,0.01,,,13c78d15-22f9-457c-be40-3faa92bd38ec,0.01,0.14,0.0,-0.02,0.01,0.13,,13.68
0.91,1.48,2.82,86.4,6.37,0.01,0.73,13.24,d87918c6-5060-4c4a-a525-ab1fd4078c3e,0.01,0.1,10.1,0.0,0.01,0.07,0.82,7.87
0.88,1.13,0.25,86.03,14.7,0.01,1.07,15.59,0288df1e-8f77-4952-a4be-42974f67c90b,0.01,0.15,17.2,-0.01,0.01,0.14,1.42,15.94
0.82,0.59,0.9,82.8,18.15,0.01,1.05,9,ebec3d9d-503c-411b-98ff-dfd9eebc6a9f,0.01,0.08,9.88,-0.0,0.01,0.19,0.92,8.92
0.28,0.47,-0.14,17.78,6.99,0.01,1.03,2.98,53c02b98-6256-4cde-8f70-a4d36dc5c491,0.0,0.11,3.53,0.01,0.01,0.06,0.31,3.95
0.84,0.86,3.97,93.81,13.53,0.01,0.83,13.69,25e4d32c-c2f8-446d-ac88-b37adc63f31c,0.01,0.14,11.84,0.04,0.01,0.14,1.01,11.79
0.03,1.31,7.47,3.77,6.85,0.01,0.47,19.64,3f4a9886-a25c-4d20-9082-a87be95b644e,0.01,0.23,9.63,0.08,0.0,0.07,0.79,9.49
0.73,0.96,-1.1,72.72,18.18,0.01,1.22,14.03,3f2f0365-28ae-4f7f-9324-fbe04c7356c0,0.01,0.13,17.58,-0.02,0.01,0.18,1.49,16.24
0.49,,,,,0.01,,,c2b9179a-e2ad-4a9b-9672-581f43ab71c0,0.01,0.21,0.0,0.06,0.01,0.13,,14.3
0.71,,,,,0.01,,,b00e92b9-fce7-424f-9a75-9837d31517e0,0.0,0.1,0.0,-0.02,0.0,0.06,,5.01
