category,parent_company,fund_id,fund_name
Large Blend,Oak Associates,4e86331e-df6a-49d2-b08c-dd5688510a03,Rock Oak Core Growth Fund
Large Growth,ProFunds,56021f10-55ef-4b46-821b-f870ec49481a,ProFunds Large Cap Growth Fund Service Class
Market Neutral,Gabelli,a870fc92-f631-428a-9f71-7956658b3a03,Gabelli ABC Fund Class AAA
Short-Term Bond,First Investors,f08d2421-1e63-4e98-884e-e89c382bb33b,First Investors Limited Duration Bond Fund Class A
Emerging-Markets Local-Currency Bond,MFS,577b605f-c836-4e56-be1a-17ffcc0abcb8,MFS Emerging Markets Debt Local Currency Fund Class R6
Large Growth,Aberdeen,e4812488-634f-4114-b030-f2c79cbca7b5,Aberdeen Focused U.S. Equity Fund Institutional Class
Large Growth,Saratoga,ed02a320-d4d0-4468-ba71-66b086a2b9ab,Saratoga Large Capitalization Growth Portfolio Fund Class A
Foreign Large Growth,Columbia,cea173a8-6f29-4476-983b-6f976e124aae,Yorktown Short Term Bond Institutional
Large Blend,Gabelli,3b563ffc-d08d-4acd-8fd0-e762d62a2494,Gabelli ESG Fund Class I
Multisector Bond,Ivy Funds,e98c3f67-b2d9-4e21-a2d8-4b1ea90c11c7,Ivy Apollo Strategic Income Fund Class Y
Large Growth,Wells Fargo Funds,e7487390-8919-4dd6-8565-cc5e5b901b37,Wells Fargo Premier Large Company Growth Fund - Class Admin
Intermediate-Term Bond,JPMorgan,1ace212f-b8bd-4bbb-bc85-54b16994d45c,JPMorgan Mortgage-Backed Securities Fund Class R6
Mid-Cap Value,Transamerica,3252f8d4-9fce-438b-9b2c-852815c8cbb6,Transamerica Mid Cap Value Opportunities R4
Foreign Large Blend,JPMorgan,1ec3afe5-dba0-4618-9493-12d7b0dc90e2,JPMorgan International Unconstrained Equity Fund Class R2
Target-Date 2020,Allianz Funds,f4074562-9a97-41c6-86d2-75313231fb18,AllianzGI Retirement 2020 Fund Class A
Allocation - 70% to 85% Equity,Russell,91ffb8f5-dd3a-4767-bdc0-ca04caf3e04e,Russell Investments LifePoints Equity Growth Strategy Fund Class R5
World Small/Mid Stock,Hartford Mutual Funds,23b6c257-2bd4-4bb2-bd99-4f3ea25d1c6a,Hartford Global Impact Fund Class R3
Mid-Cap Growth,Dreyfus,fc17b9ea-5edb-40c6-a0e9-353821e5db1e,Dreyfus/The Boston Company Small/Mid Cap Growth Fund Class Z
Allocation - 30% to 50% Equity,MFS,c6c71860-ab19-4013-ac25-4429f5ff6547,MFS Conservative Allocation Fund Class R3
Large Value,Neuberger Berman,58683610-a065-4aa3-a53d-653e0e038256,Neuberger Berman Large Cap Value Fund Advisor Class
Allocation - 70% to 85% Equity,Fidelity Investments,5a6e6b12-6f8b-47f1-8f26-2638b817ab70,Fidelity Advisor Strategic Dividend & Income Fund Class A
Mid-Cap Growth,JPMorgan,3ea64de5-0a83-4365-997b-5faa36037278,JPMorgan Mid Cap Equity Fund Class A
Large Blend,Crossmark Steward Funds,0d0219c3-9f0f-4810-aae1-0baba3b5054f,Crossmark Steward Large Cap Enhanced Index Fund Class A
Foreign Large Blend,Fidelity Investments,90161371-b9bd-4929-8c97-721662bd87f2,Fidelity Total International Index Fund
Managed Futures,Saratoga,40abef95-6d85-4fde-b6a5-6ee8e7cb7a87,James Alpha Macro Portfolio Class C
Muni New Jersey,OppenheimerFunds,f75ce51b-3c5d-4b26-bd4a-90aa914c9080,Oppenheimer Rochester New Jersey Municipal Fund Class C
Energy Limited Partnership,Advisory Research,8680cb85-048a-4314-9393-0dfb49728036,Advisory Research MLP & Energy Income Fund Class C
Diversified Emerging Mkts,Driehaus,eeae11d5-b049-47ac-bc5f-8fe50f85cfca,Driehaus Frontier Emerging Markets Fund
Large Value,Vanguard,53efbef4-5cc3-433a-a874-b8f53d29c0ec,Vanguard Windsor II Fund Investor Share
Large Value,Transamerica,6b246ee6-0a17-4892-a860-07054dd4f41e,Transamerica Funds - Large Cap Value Advisor Fund
Target-Date Retirement,Franklin Templeton Investments,59c38428-868b-4eaf-806b-3228e696a82b,Franklin LifeSmart Retirement Income Fund Class R
Allocation - 50% to 70% Equity,American Funds,8c3e28a0-a526-4bcc-b678-f38403f38d9d,American Funds American Balanced Fund Class F-2
Large Value,Voya,597a5ecd-5161-49b3-997f-66601dd66c58,Voya Russell Large Cap Value Index Portfolio Class S
Muni Single State Long,Wells Fargo Funds,2cfef183-4ee7-4430-acdf-87f9c2e42e74,Wells Fargo Colorado Tax-Free A
Target-Date 2030,PIMCO,7f7cf61f-96e4-471f-a421-3926f1fc8743,PIMCO RealPath Blend 2030 Fund Institutional Class
Large Value,Wells Fargo Funds,673d92e3-1ad5-41b9-9367-87558baaa816,Wells Fargo Large Company Value Fund - Class Inst
Target-Date 2020,American Funds,a16e1f60-f2c8-4735-a4ab-bec3bf439658,American Funds 2020 Target Date Retirement Fund Class R-2
Allocation - 50% to 70% Equity,Hartford Mutual Funds,2de4aeba-9ece-41e3-b703-508a4c76380c,Hartford Moderate Allocation Fund Class F
World Bond,American Funds,03c7d983-5bfd-4544-996b-8ae3530ed215,American Funds Capital World Bond Fund Class 529-C
Foreign Large Blend,Victory,1bcd2d08-080b-4375-8dbb-21c6449bfbeb,Victory Trivalent International Fund-Core Equity Class A
Allocation - 50% to 70% Equity,Great-West Funds,30906381-a678-4e16-8c9e-8e0587bde6fc,Great-West Moderate Profile Fund Institutional Class
World Allocation,OppenheimerFunds,0d28ad1b-9558-42e0-8e31-ec853162595c,Oppenheimer Global Multi-Asset Growth Fund Class A
Target-Date 2040,T. Rowe Price,4b58f471-30e5-4ef8-8434-96a22d69e22a,T. Rowe Price Target 2040 Fund I Class
Allocation - 15% to 30% Equity,Dimensional Fund Advisors,2bdc8eec-5c39-4d24-bfca-9e209a432046,DFA Global Allocation 25/75 Portfolio Class R2
Large Growth,OppenheimerFunds,e22f1f53-d902-4341-a015-8f0a6bc408b0,Oppenheimer Capital Appreciation Fund Class A
Large Value,Voya,ed7bcb7f-d800-4458-8ae9-f52ef2bbf69e,Voya Large Cap Value Fund Class C
Small Blend,FAM,eb58a995-18fc-4fd0-b42d-c29c30ef6908,FAM Small Cap Fund Institutional Class
Foreign Large Value,Janus Henderson,69481a3d-0cd2-4a3e-8903-d71db5462ea9,Janus Henderson Global Equity Income Fund Class D
Target-Date 2055,Nationwide,bc30ccf0-0d2d-4d33-a095-7a026d7a9229,Nationwide Destination 2055 Fund Class A
Allocation - 70% to 85% Equity,Saratoga,6056b896-4851-4820-a458-bccc1f469342,Saratoga Aggressive Balanced Allocation Portfolio Class I
Short Government,OppenheimerFunds,0edb711c-7b9a-480b-b4cf-0d4ada26dece,Oppenheimer Limited-Term Government Fund Class A
Target-Date 2000-2010,Principal Funds,7c8fca53-14ae-4875-be30-41aec0a5df64,Principal LifeTime 2010 Fund Class J
Ultrashort Bond,Legg Mason,7be5cbc5-7439-4fce-97a7-3fdeb61f91c3,Western Asset Adjustable Rate Income Fund Class IS
Allocation - 70% to 85% Equity,Pinnacle Capital Management,f64f92ba-a4a1-4969-b083-d38db4c35359,1789 Growth and Income Fund Class P
Foreign Large Value,Lord Abbett,bffacfd9-4466-4831-a970-a1ee67eaa313,Lord Abbett International Value Fund Class R3
Long-Term Bond,Sextant Mutual Funds,506e0999-f1d2-47f7-ae47-65d1aa5df35d,Sextant Bond Income Fund
Bear Market,Rydex Funds,41ae432b-6eae-4ef1-9319-00bc93abf416,Rydex Inverse S&P 500 Strategy Fund Class C
Small Value,Transamerica,3f633228-a7ca-4394-b3a2-8fc5f59eb8d7,Transamerica Small Cap Core Fund Class I3
Large Growth,Sit,8003325c-4a9d-4e9d-af5b-69355a51a20e,Sit Large Cap Growth Fund
Utilities,Fidelity Investments,af3c21ee-a87a-43ad-b241-c57dad25b164,Fidelity Advisor Utilities Fund I Class
Foreign Large Blend,Aberdeen,89eebaa8-9588-4e1f-9296-cb4182544a71,Aberdeen Select International Equity Fund Class I
Mid-Cap Value,James Advantage,dda4c786-1bf8-498b-860f-d1fd120df78f,James Mid Cap Fund
Bank Loan,First Trust,efa22003-7d87-408a-8f97-ab4398e8d0bb,First Trust Short Duration High Income Fund Class C
World Large Stock,JPMorgan,7292318d-c0dc-4fa6-81b0-a6d02985a8e2,JPMorgan Global Research Enhanced Index Fund Class R6
Infrastructure,Cohen & Steers,982d8825-7b9c-4170-aca8-426e53f4b3be,"Cohen & Steers Global Infrastructure Fund, Inc. Class R"
Muni National Interm,UBS Asset Management,649b54af-be36-43b2-b6df-86a7affd98f3,PACE Municipal Fixed Income Investments Class P
Mid-Cap Growth,Teton Westwood Funds,de965ead-4824-4305-9cee-2920c0f9db64,TETON Westwood Mid-Cap Equity Fund Class I Shares
Short-Term Bond,Virtus,a1330268-81a3-4e72-b5f1-787346ad3c02,Virtus Seix Short-Term Bond Fund Class C
Foreign Small/Mid Blend,Janus Henderson,7440eaf7-19b9-4ecb-882f-580c12aab817,Janus Henderson International Small Cap Fund Class N
Diversified Emerging Mkts,MFS,9e211ffd-9277-4541-9554-d5d2b36dbc5b,MFS Emerging Markets Equity Fund Class R3
Target-Date 2035,Putnam,a9c62fc0-8748-4276-b0b4-2a6a1c528242,Putnam RetirementReady 2035 Fund Class Y
Diversified Emerging Mkts,Capital Group,57eb68ad-b2d5-4731-9a24-3bfa464e865f,Capital Group Emerging Markets Total Opportunities Fund Class R-6
Bank Loan,Lord Abbett,414907dd-cad9-4bb4-a6a2-93f161b318ad,Lord Abbett Floating Rate Fund Class A
Muni National Short,Putnam,0a28a184-6f91-4333-be61-65596eb493b2,Putnam Short-Term Municipal Income Fund Class B
Large Value,Vanguard,d3cc0616-2c35-407a-bf86-5e965b716996,Vanguard U.S. Value Fund Investor Shares
Large Growth,Calvert Research and Management,c7e5e8e9-ceb9-4ef9-a678-103d23fe51c5,Calvert US Large Cap Growth Responsible Index Fund Class A
Tactical Allocation,USAA,337dc53e-b2fb-4ff8-a842-9ec8bc5f23ba,USAA Target Managed Allocation Fund
Target-Date 2060+,Principal Funds,afb288e9-f124-4183-83e7-0c4627a07e3d,Principal LifeTime 2065 Class R-5 Shares
Large Growth,American Funds,a5c030e9-b817-4d87-9c69-5c79513c75f5,American Funds The Growth Fund of America Class 529-A
World Large Stock,Invesco,63eb2b0f-117f-4f7c-9d3d-1cb842d1c4f5,Invesco Global Growth Fund Class A
Large Growth,Transamerica,fb6152fc-3327-40ad-9533-a1006df8e76f,Transamerica Multi-Cap Growth Advisor
Large Growth,John Hancock,ede03f88-fc5b-4e70-8e12-f37041563560,John Hancock Funds II Blue Chip Growth Fund Class A
Large Blend,Fidelity Investments,5c5c0944-2321-4b16-b388-b2d8974f566f,Fidelity Advisor Large Cap Fund Class Z
Trading - Leveraged Debt,Direxion Funds,4b89c7b7-2d91-43a5-b21b-ff1cacb72bac,Direxion Monthly 25+ Year Treasury Bull 1.35X Fund Investor Class
Short-Term Bond,Thompson IM Funds Inc,7dc1c98c-0920-4689-a7e6-792fd7fdf7a5,Thompson Bond Fund
Target-Date 2040,PIMCO,7c52f009-ccea-405a-b397-2743ca4cff6d,PIMCO RealPath Blend 2040 Fund Institutional Class
Large Blend,Pioneer Investments,031a6952-5809-4372-bd53-6e6f08289733,Pioneer Fund Class R
World Allocation,Thornburg,da2942c7-8ce3-4c87-881d-cec90638af19,Thornburg Investment Income Builder Fund Class A
Large Value,Segall Bryant & Hamill,6e4a3a8c-7548-4082-a77d-5122056b4fd9,Segall Bryant & Hamill Large Cap Dividend Fund Retail Class
Large Blend,Columbia,c66e1a03-0a2d-480c-87a1-c3dfc0852540,Columbia Contrarian Core Fund Institutional 3 Class
Target-Date 2025,Fidelity Investments,f32efbd0-19de-4a74-9f2c-c2b71b819f5c,Fidelity Advisor Freedom 2025 Fund Class C
Natural Resources,Dreyfus,6c583a83-7a34-49dd-a63b-2212b57f1342,Dreyfus Natural Resources Fund Class C
High Yield Muni,PIMCO,0d8ed7ec-2b4d-4940-95ae-259416989ea2,PIMCO High Yield Municipal Bond Fund Class I-2
Multialternative,AQR Funds,e9dd44db-f174-4b3c-95de-ea08fee31af7,AQR Global Macro Fund Class R6
World Large Stock,Capital Group,c12c46bd-f763-400e-94e2-5b276c412141,Capital Group Global Equity Fund
Foreign Large Blend,TIAA Investments,d263df63-42f9-473c-9a0c-be592b02f4e0,TIAA-CREF Quant International Equity Fund Advisor Class
Intermediate-Term Bond,Fidelity Investments,c361b4bf-c6a5-45bc-95c4-d9597117a32a,Fidelity Total Bond K6 Fund
Diversified Emerging Mkts,Janus Henderson,d7a145a0-572c-4652-99b6-b31fbc01b24c,Janus Henderson Emerging Markets Fund Class A
Target-Date 2055,PGIM Funds (Prudential),6d151988-6841-4636-bae2-f8eba88f8b9e,Prudential Day One 2055 Fund Class R1
Intermediate-Term Bond,Ivy Funds,d3100290-417c-46e7-aaaf-a48595e7e075,Ivy Securian Core Bond Fund Class C
Allocation - 50% to 70% Equity,JPMorgan,efa465a2-3d8c-41a5-8745-ba659fd490cc,JPMorgan Investor Balanced Fund Class C
Target-Date 2025,John Hancock,0fa41d0c-c6b4-40ac-8e42-0872d053b16d,John Hancock Funds Multi-Index 2025 Preservation Portfolio Class R2
High Yield Bond,MFS,32eef4f1-732f-4564-93cb-ae228128fbe6,MFS Global High Yield Fund Class B
Mid-Cap Blend,Russell,485d4125-f29a-4ba1-a73d-8adff9783c68,Russell Investments U.S. Mid Cap Equity Fund Class C
Target-Date 2035,MFS,f397607f-b940-46bd-aa38-eb2f42a0f748,MFS Lifetime 2035 Fund Class I
Muni California Long,Columbia,e915ef8d-96fc-47aa-9877-cb365d7daee7,Columbia Strategic California Municipal Income Fund Advisor Class
Tactical Allocation,Stadion Funds,d4634cba-d4fe-46d1-9d2f-f02cb7bffb8a,Stadion Defensive International C
World Allocation,MainStay,9db751d6-bdb6-4126-a052-b56c054e313b,MainStay Income Builder Fund Class A
Bank Loan,Pioneer Investments,c9ef5b8e-8de4-487a-be63-85c2193a8a28,Pioneer Floating Rate Fund Class A
Bear Market,Rydex Funds,cfddd131-81f0-4328-942e-334b252a8297,Rydex Inverse Russell 2000 Strategy Fund Class A
Allocation - 50% to 70% Equity,Hennessy,3bd15c0e-f864-438d-9e7c-46ca7f0f4c32,Hennessy Total Return Fund Investor Class
Foreign Small/Mid Growth,Fidelity Investments,eb6637bd-8d34-4ada-beb3-cfe2537d2a05,Fidelity Advisor International Small Cap Opportunities Fund Class C
Small Blend,Columbia,c88c5220-2cb5-44ef-b99f-9a8a0515799f,RiverSource Small Company Index A
Ultrashort Bond,Semper,1ea2cc83-acb8-4c9d-a0b2-9ab624d8f7af,Semper Short Duration Fund Institutional Shares
Large Blend,Dreyfus,8b0034fa-6395-421d-b1fe-8028ab9b9d5f,Dreyfus Tax Managed Growth Fund Class I
Multialternative,AQR Funds,591fa774-3d80-48ce-8eed-8e584f7fb5d7,AQR Alternative Risk Premia Fund Class R6
Allocation - 30% to 50% Equity,Vanguard,a422511c-9902-49b6-ad80-502d528d55a1,Vanguard Tax-Managed Balanced Fund Admiral Shares
Nontraditional Bond,Toews Funds,2e610697-679c-4be1-947d-015080b88437,Toews Unconstrained Income Fund
Corporate Bond,USAA,99e3f1ee-47c4-4f58-af2c-f35b61a393c1,USAA Intermediate-Term Bond Fund Adviser Shares
Allocation - 50% to 70% Equity,Holland Series Trust,152558cf-8657-4754-8b73-557bb00bbc0a,Holland Balanced Fund
Small Growth,Carillon Family of Funds,1d126683-1753-4e07-9754-739643e3fd31,Carillon Eagle Small Cap Growth Fund Class Y
Financial,Rydex Funds,0ab1b7c0-f7ae-4ac4-b4a5-3e7efd2e338e,Rydex Banking Fund Class H
Allocation - 70% to 85% Equity,Lord Abbett,cb7db12a-f9a6-41be-b7ca-59b041b28738,Lord Abbett Multi-Asset Growth Fund Class R6
Allocation - 30% to 50% Equity,Principal Funds,f8d7d5a2-ddc0-4a31-8945-46a22314cc8e,Principal Strategic Asset Management Conservative Balanced Fund Class J
Target-Date 2045,BlackRock,f9d165a4-2e8a-46c8-8701-286821b785df,BlackRock LifePath Dynamic 2045 Fund Class K Shares
Small Blend,Kinetics,72a2838d-6a85-4df2-8c6d-74392bad95cc,Kinetics Small Capital Opportunities Fund Class Institutional
Large Value,VALIC,a5c08225-06ea-4c02-95f0-db4b6dd697c3,VALIC Company I Broad Cap Value Income Fund
Small Blend,TIAA Investments,9a9330ba-3b2f-4ecb-8584-768e1f3ea23f,TIAA-CREF Quant Small/Mid-Cap Equity Fund Advisor Class
Short-Term Bond,American Funds,3b93ea31-1611-46f0-a15c-26865d3f73d1,American Funds Preservation Portfolio Class R-4
Large Blend,Eaton Vance,cf022a49-9fd9-4a36-afb1-cc155f02501e,Eaton Vance Focused Value Opportunities Fund Class C
Emerging Markets Bond,DWS,2c67513e-4212-4a25-b503-2a45ac6345b7,DWS Emerging Markets Fixed Income Fund - Class C
High Yield Muni,Franklin Templeton Investments,7cfb1742-eac2-42b3-9148-51f42937cbbd,Franklin High Yield Tax Free Income Fund Class A1
Energy Limited Partnership,Goldman Sachs,691c98d0-0ae4-48b0-8791-744fd2a96ae1,Goldman Sachs MLP Energy Infrastructure Fund Class C
High Yield Bond,Penn Capital Management,52366239-4117-4e02-98d3-99851a6363ab,Penn Capital Defensive Short Duration High Income Fund Institutional Class
Market Neutral,Victory,a2e87429-5661-4aec-84a3-6e8a5d7ee7c0,Victory Market Neutral Income Fund Class I
Foreign Large Value,PIMCO,8e0ba88f-ed69-4202-b2ca-c9019857e866,PIMCO RAE Global ex-US Fund Institutional Class
Bank Loan,Power Mutual Funds,db3399ed-4887-41a8-b91a-75f3a94959aa,Power Floating Rate Index Fund Class I
Large Growth,Eaton Vance,34073a09-914e-4689-88ed-dcd88b226653,Eaton Vance Focused Growth Opportunities Fund Class I
Nontraditional Bond,Columbia,94870c71-4aad-4e53-a538-7d8475ca93b1,Columbia Strategic Income Fund Institutional Class
Target-Date 2020,JPMorgan,725eb5f2-1bb9-4011-9c9b-8a41d12c9e7f,JPMorgan SmartRetirement Blend 2020 Fund Class R5
Large Blend,Calamos,461c3c20-97c7-4556-a4bf-8f778a5c0913,Calamos Dividend Growth Fund Class I
Small Value,Janus Henderson,d18504ca-8414-42c9-960a-30ca2bf5d7b3,Janus Henderson Small Cap Value Fund Class A
Target-Date 2040,JPMorgan,16509994-8018-40e1-b0f2-f6ffd312f138,JPMorgan SmartRetirement 2040 Fund Class R3
Short-Term Bond,Neuberger Berman,0212b99e-6104-4a69-9e44-8676cfaca37b,Neuberger Berman Short Duration Bond Fund Trust Class
High Yield Muni,Invesco,caa7320b-b155-44fa-bda2-621b4c7c4ce3,Invesco Short Duration High Yield Municipal Fund Class Y
Large Blend,Guinness Atkinson,ca4dad28-9f09-4e26-9a9d-851145fa1ed9,Guinness Atkinson Global Innovators Fund Investor Class
Small Blend,John Hancock,6db6d11d-cc3b-49a5-886a-e6ac01f1528c,John Hancock Funds II New Opportunities Fund Class R6
Large Growth,Transamerica,370d3d91-3967-4520-bb26-b06078533eb2,Transamerica US Growth T1
Foreign Large Blend,Forester,5f6674e7-2e02-4915-8899-358293a1cbc7,Forester Discovery Fund
Muni Massachusetts,Legg Mason,04496a7e-2620-41f6-a27e-42835a808cc3,Western Asset Massachusetts Municipals Fund Class C
Real Estate,Fidelity Investments,9a897076-bf79-46ba-a3c7-a88e13c4fb7f,Fidelity Advisor Real Estate Income Fund Class C
Large Blend,BlackRock,4f1d7e79-2a19-404c-8ff0-7f63f42091fb,iShares S&P 500 Index Fund Investor C1 Shares
World Allocation,IVA Funds,e3db5f83-84da-41ef-ab69-319156f6ee9c,IVA Worldwide Fund Class I
Long-Short Equity,Invesco,7b8bb0f2-000a-409e-9b30-71155b785b08,Invesco Long/Short Equity Fund Class C
Short-Term Bond,American Funds,fc601e4b-9f18-433e-8b75-dc7e377bfb07,American Funds Short-Term Bond Fund of America Class R-4
Ultrashort Bond,Baird,9451697c-c983-41ee-9071-1921527c118d,Baird Ultra Short Bond Fund Investor Class
Technology,Saratoga,882747c3-3c48-48b0-86c4-df9992fb5710,Saratoga Technology & Communications Portfolio Class Institutional
Foreign Small/Mid Value,TIAA Investments,76272959-d7f0-49fe-b64b-648e658dfd2b,TIAA-CREF Quant International Small-Cap Equity Fund Premier Class
Diversified Emerging Mkts,Goldman Sachs,7550c457-8f7f-4c55-8458-715da9ced4e3,Goldman Sachs Total Emerging Markets Income Fund Class R
Large Blend,Calamos,979b12b5-a546-4f42-9ea5-92ae15037b1f,Calamos Dividend Growth Fund Class C
Allocation - 70% to 85% Equity,SEI,13400e8b-d493-473a-809f-74abce528858,SEI Asset Allocation Trust Tax-Managed Aggressive Strategy Fund Class F
High Yield Bond,Morgan Stanley,52aff50a-e3f0-4cc2-a543-9a228e53f01c,Morgan Stanley Institutional Fund Trust High Yield Portfolio Class IS
Financial,Emerald,c819aef1-f44e-49ac-b044-9e9194cfbbf0,Emerald Banking and Finance Fund Investor Class
Mid-Cap Growth,RBC Global Asset Management.,c24777f6-b689-44fc-b409-f98801954061,RBC SMID Cap Growth Fund Class A
Small Blend,Columbia,5f5416a1-a1cd-4ff9-a8b1-40b1467b0e55,Columbia Disciplined Small Core Fund Class C
Emerging Markets Bond,TCW,ba13702f-cea7-4d08-8d8d-f3c8bb07f74a,TCW Emerging Markets Income Fund Class N
Allocation - 85%+ Equity,Voya,8952d314-1d20-4ae1-985a-bac91ec0ef15,Voya Solution Aggressive Portfolio Class S2
High Yield Bond,Federated,118d183d-852b-4b62-8675-c661dd9d3de3,Federated High Yield Trust Service Shares
World Bond,Destinations Funds,bf50d09b-0b11-40df-9206-75b7c2e3e4ec,Destinations Global Fixed Income Opportunities Fund Class I
Bank Loan,Nuveen,3ca5e560-46b6-423f-aa5e-d22230c951f3,Nuveen Symphony Floating Rate Income Fund Class I
Muni Single State Long,Nuveen,ee029c5b-ca8b-48c0-9eea-ac0500be9952,Nuveen Kansas Municipal Bond Fund Class I
World Large Stock,The Pacific Financial Group,bbfd3648-c5d6-4b49-83e2-2b4b82c1b8fe,RiskPro Aggressive 30+ Fund Class R
Large Growth,Touchstone,cc913e3c-63a5-40af-a5f8-1efe5cc8ce86,Touchstone Growth Opportunities Fund Class C
Intermediate-Term Bond,AMG Funds,54451dfc-c28c-4194-8c3a-549fc740043b,AMG GW&K Core Bond Fund Class Z
High Yield Bond,John Hancock,9e96666d-7339-486d-9197-44c9ca2aa260,John Hancock High Yield Fund Class B
Tactical Allocation,Absolute Capital,fdd45f92-5bc4-4483-a89b-0b226cb54631,Absolute Capital Asset Allocator Fund Institutional Class
Nontraditional Bond,Voya,52351ba2-aaf6-4b4e-a3b4-33d93ae67c5e,Voya Strategic Income Opportunities Fund Class W
Target-Date 2030,MassMutual,d1b6ba5e-a0eb-4fdb-84b5-31052d6d1f75,MassMutual RetireSMART by JPMorgan 2030 Fund Administrative Class
Intermediate-Term Bond,Lord Abbett,9d907494-a21c-4833-92db-8cca36627121,Lord Abbett Total Return Fund Class R2
Short-Term Bond,PGIM Funds (Prudential),0c485768-9b51-4dc0-a782-93c92559b44a,PGIM Short-Term Corporate Bond Fund- Class B
Allocation - 30% to 50% Equity,Franklin Templeton Investments,beec1bf2-8bb5-489d-8abd-a25b0a658ba0,Franklin Conservative Allocation Fund Class C
Allocation - 30% to 50% Equity,American Funds,fe87428b-8e54-4a39-82ed-e592b7288923,American Funds Tax-Advantaged Growth and Income Portfolio Class C
Target-Date 2020,Manning & Napier,cca46b79-0494-4a4e-98c1-d34e73fa32ec,Manning & Napier Target 2020 Series Class R
Bank Loan,Columbia,c50a71a9-067d-4591-a20c-975a020605b5,Columbia Floating Rate Fund Institutional Class
High Yield Muni,Transamerica,571cf004-0a63-4a55-a4c7-7d10f55f1a76,Transamerica High Yield Muni T1
Target-Date Retirement,BMO Funds,f2454655-6fe9-4478-a20c-877aeb475b09,BMO In-Retirement Fund Class R3
Target-Date 2025,Pimco,1d227bbe-5dc6-4f74-9aea-6bb5de20533c,PIMCO RealPath 2025 D
World Large Stock,American Funds,3405d9a8-9143-4584-98a2-ef995cea4e59,American Funds Global Growth Portfolio Class R-5
Foreign Large Growth,Alger,50963f36-fbd3-4810-aa60-6b287cb64f5b,Alger International Focus Fund Class I
Small Growth,Invesco,a3c65e29-76bb-41f9-9fe6-f6e6ab69b3bd,Invesco Small Cap Growth Fund Class A
Short Government,Vanguard,f65cc512-dc35-45ce-b160-5b2549bc0e3e,Vanguard Short-Term Treasury Fund Admiral Shares
World Large Stock,Yorktown Funds,32348390-d280-406b-908c-9f8d82386322,Yorktown Capital Income Fund Class Institutional
Small Value,Northern Funds,071a8ff5-859e-4e02-ae81-4d234f6c7c9e,Northern Small Cap Value Fund
Mid-Cap Growth,MFS,29e0662b-4c4f-40ed-aa94-098b56f1e40f,MFS Mid Cap Growth Fund Class R6
Large Value,Fidelity Investments,34062eef-feac-4ead-bfe0-bcca9120343a,Strategic Advisers Value Fund
Intermediate-Term Bond,Neuberger Berman,82162e12-cb85-4804-a1bb-d029a9236534,Neuberger Berman Core Bond Fund Investor Class
Mid-Cap Growth,Columbia,e18c5180-eb7b-476e-a947-af292865f71f,Columbia Mid Cap Growth Fund Class V
Large Growth,Voya,64322f3e-c98b-4aec-8d39-ff363f7615f5,Voya Large-Cap Growth Fund Class I
Mid-Cap Growth,Baron Capital Group,d2522f8b-e62d-4024-bb9b-d1f2c6828d42,Baron Focused Growth Fund R6 Shares
Long-Short Credit,BlackRock,24d0508d-b808-4a68-9591-c004fb15fd99,BlackRock Global Long/Short Credit Fund Investor C Shares
Target-Date 2015,State Street Global Advisors,2259c0a8-f0ac-44cd-9ac9-5efd1acdb680,State Street Target Retirement 2015 Fund Class K
Diversified Emerging Mkts,AllianceBernstein,6a0f740b-315c-45bb-8315-73d66a9c2cbe,AB Emerging Markets Core Portfolio Class A
Small Blend,RQSI,da9e0f54-aadb-4b1f-80f9-d8c084780690,RQSI Small Cap Hedged Equity Fund Institutional Shares
Allocation - 50% to 70% Equity,American Funds,2630db05-0784-431f-8ce2-33855f7b9d7d,American Funds American Balanced Fund Class R-5
Multialternative,Highmore,f6453b05-c08a-42a7-b103-53eca3447186,Highmore Managed Volatility Instl
Small Growth,Royce,336cb460-98b0-445a-8e9b-d1b2ed2f459c,Royce Premier Fund Consultant Class
Real Estate,TIAA Investments,c233eb37-63d5-474b-afda-7250da277611,TIAA-CREF Real Estate Securities Fund Institutional Class
Emerging Markets Bond,VanEck,ede89c6f-fb34-4710-b046-81865a5d0d93,VanEck Unconstrained Emerging Markets Bond Fund Class A
Commodities Broad Basket,BlackRock,c9f91c58-e81e-4483-9ea5-27a32ce01c3e,BlackRock Commodity Strategies Portfolio Institutional Shares
Commodities Broad Basket,Russell,d5b24298-ff87-4494-bf3e-fb0ba3b6883e,Russell Investments Commodity Strategies Fund Class S
Emerging Markets Bond,T. Rowe Price,2971f0c1-9661-4971-97da-70ea922eaff7,T. Rowe Price Emerging Markets Corporate Bond Fund
Foreign Large Blend,State Street Global Advisors,19ebfeb6-1802-4988-8869-c87af89d5343,State Street Global Equity ex-U.S. Index Fund Class A
High Yield Bond,Principal Funds,277be599-b52e-4f39-afbf-cde4b9ef9baa,Principal High Yield Fund Class A
Intermediate-Term Bond,AMG Funds,238e63ae-966e-4532-8e04-1cbd29578f86,AMG GW&K Core Bond Fund Class N
Large Growth,Frost Funds,062ef2eb-407f-484a-9e26-9c38d704c7f9,Frost Growth Equity Fund Investor Class Shares
Large Blend,Fidelity Investments,9ae4c829-b904-4d77-9fb9-1b9da06c631a,Fidelity Advisor Capital Development Fund Class A
Intermediate-Term Bond,Pax World,69fb210d-b81e-466d-9eb0-c95f16fe596f,Pax Core Bond Fund Institutional Class
