category_r_squared_5years,5yrs_sharpe_ratio_fund,5_years_alpha_fund,5years_fund_r_squared,5years_fund_std,5yrs_sharpe_ratio_category,5_years_beta_fund,5yrs_treynor_ratio_fund,5_years_return_mean_annual_fund,5_years_return_mean_annual_category,5yrs_treynor_ratio_category,5_years_return_fund,5_years_alpha_category,5_years_beta_category,5years_category_std,tag,5_years_return_category
0.32,0.85,0.67,73.18,2.47,0.0,0.74,2.85,0.24,0.0,0.0,2.92,-0.01,0.01,0.05,31301,1.1
0.64,0.79,5.22,73.75,16.19,0.01,1.26,9.78,1.14,0.01,0.12,13.08,0.08,0.01,0.16,213695,15.26
0.8,,,,,0.0,,,,0.01,0.05,0.0,-0.04,0.01,0.13,87326,6.34
0.71,0.26,1.25,78.18,15.72,0.0,1.16,2.54,0.41,0.0,0.02,3.74,0.0,0.01,0.15,245276,2.61
0.96,0.49,-2.01,95.53,9.19,0.01,1.33,3.13,0.43,0.01,0.04,4.9,-0.01,0.01,0.09,190043,5.95
0.95,0.55,-1.14,98.27,7.54,0.01,1.12,3.52,0.41,0.0,0.04,4.75,-0.01,0.01,0.08,240812,5.56
0.86,0.83,-0.42,89.96,12.06,0.01,1.02,9.57,0.9,0.01,0.1,10.58,-0.0,0.01,0.13,54962,11.26
0.71,-0.11,-3.94,77.16,13.57,0.0,0.99,-2.44,-0.06,0.0,0.02,-1.62,0.0,0.01,0.15,51218,2.61
0.53,0.51,6.04,56.88,17.02,0.0,1.07,7.06,0.79,0.01,0.06,8.35,0.06,0.01,0.21,50966,7.57
0.32,-0.09,-2.81,17.86,7.39,0.0,1.09,-0.88,0.01,0.0,0.0,-0.15,-0.01,0.01,0.05,85931,1.1
0.86,1.17,-2.83,88.03,11.03,0.01,1.09,11.96,1.1,0.01,0.1,13.33,-0.0,0.01,0.13,203579,11.26
0.95,0.57,-1.23,96.42,9.9,0.01,1.46,3.63,0.54,0.01,0.04,6.1,-0.01,0.01,0.1,250568,6.41
0.86,0.57,-2.9,82.2,11.31,0.01,0.92,6.59,0.61,0.01,0.07,6.84,-0.03,0.01,0.11,109322,7.2
0.94,0.85,-0.21,95.92,2.26,0.01,0.74,2.64,0.23,0.0,0.02,2.76,-0.01,0.01,0.03,226079,2.64
0.86,0.89,1.28,64.57,8.28,0.01,0.6,12.27,0.68,0.01,0.07,8.12,-0.03,0.01,0.11,115856,7.2
0.84,0.25,-3.44,92.44,7.98,0.0,1.15,1.45,0.23,0.0,0.02,2.48,-0.03,0.01,0.08,171116,3.01
0.95,0.51,-1.69,94.84,9.77,0.01,1.43,3.27,0.49,0.01,0.04,5.48,-0.01,0.01,0.09,42659,6.18
0.96,0.58,-1.02,97.01,9.05,0.01,1.34,3.74,0.51,0.01,0.04,5.81,-0.01,0.01,0.09,247301,5.95
0.34,0.09,-0.67,34.73,23.91,0.0,1.17,-0.52,0.25,0.0,-0.0,0.19,0.0,0.01,0.28,157472,0.25
0.85,0.11,-1.42,87.07,2.72,0.0,0.89,0.31,0.09,0.0,0.01,1.08,-0.0,0.01,0.02,207314,1.86
0.89,0.06,-1.5,85.88,11.76,0.0,0.91,0.04,0.13,0.0,-0.0,0.84,-0.02,0.01,0.12,56798,0.62
0.86,0.94,1.7,80.13,13.88,0.01,1.11,11.6,1.15,0.01,0.1,13.68,-0.0,0.01,0.13,190250,11.26
0.92,1.03,0.38,86.54,2.97,0.01,0.92,3.35,0.32,0.0,0.03,3.89,-0.0,0.01,0.03,73799,3.16
0.03,0.62,1.75,0.21,2.98,0.01,0.05,38.78,0.22,0.0,0.11,2.63,0.02,0.0,0.05,251063,3.45
0.96,0.78,0.87,95.35,9.54,0.01,1.4,5.19,0.69,0.01,0.04,8.07,-0.01,0.01,0.1,207548,6.49
0.78,0.6,-3.02,85.75,12.56,0.01,1.04,6.82,0.7,0.01,0.07,7.88,-0.03,0.01,0.14,184886,8.99
0.47,0.56,-0.41,87.93,4.17,0.0,0.59,3.92,0.26,0.0,0.02,3.11,-0.01,0.0,0.05,100790,1.36
0.03,0.78,3.46,2.42,5.12,0.01,0.28,14.27,0.4,0.0,0.11,4.77,0.02,0.0,0.05,35702,3.45
0.81,,,,,0.01,,,,0.0,0.04,0.0,0.01,0.01,0.04,212129,5.26
0.78,0.36,1.84,86.86,10.71,0.0,0.83,4.08,0.39,0.01,0.06,4.19,0.04,0.01,0.11,169127,5.89
0.15,,,,,0.0,,,,0.0,0.05,0.0,0.01,0.01,0.07,230345,3.37
0.14,0.73,0.23,1.67,0.42,0.01,0.02,16.36,0.09,0.0,0.05,1.07,0.0,0.0,0.01,99584,1.18
0.86,0.79,-1.33,96.22,12.19,0.01,1.07,8.69,0.87,0.01,0.1,10.09,-0.0,0.01,0.13,236834,11.26
0.01,0.65,1.88,0.72,2.64,0.01,-0.08,-21.83,0.21,0.0,-0.1,2.52,0.02,-0.0,0.03,68093,2.84
0.86,0.88,-0.04,94.27,12.36,0.01,1.07,10,0.98,0.01,0.1,11.53,-0.0,0.01,0.13,161414,11.26
0.93,0.9,0.0,97.12,11.34,0.01,1.0,10.09,0.92,0.01,0.08,10.88,-0.02,0.01,0.12,53261,8.91
0.9,,,,,0.0,,,,0.0,0.01,0.0,-0.0,0.01,0.12,225017,2.1
0.9,0.12,-0.92,90.56,12.29,0.0,0.98,0.74,0.19,0.0,0.01,1.53,-0.0,0.01,0.12,116414,2.1
0.51,-0.22,-12.76,55.92,20.32,-0.0,1.37,-4.63,-0.3,-0.0,-0.04,-5.55,-0.11,0.01,0.2,101276,-4.25
0.89,0.77,0.69,89.95,6.87,0.01,0.98,5.32,0.51,0.0,0.04,6.01,-0.01,0.01,0.08,74807,5.12
0.65,0.38,-5.54,67.83,14.83,0.0,1.09,4.27,0.54,0.01,0.04,5.47,-0.06,0.01,0.15,104552,5.62
0.28,0.63,4.38,29.25,13.12,0.01,0.64,12.1,0.76,0.01,0.12,8.56,0.04,0.01,0.14,173276,8.29
0.66,0.04,-0.61,63.76,0.83,0.0,0.22,0.13,0.07,0.0,0.04,0.83,-0.01,0.0,0.01,161828,1.14
0.83,0.2,0.23,78.77,11.1,0.0,0.82,2.02,0.25,0.0,0.02,2.46,0.01,0.01,0.12,90584,2.88
0.81,1.02,0.38,87.33,3.21,0.01,1.0,3.32,0.34,0.0,0.04,4.11,0.01,0.01,0.04,127286,5.26
0.96,0.61,-0.71,98.21,8.2,0.01,1.22,3.95,0.48,0.01,0.04,5.62,-0.01,0.01,0.09,135656,5.95
0.89,1.2,3.98,87.12,7.36,0.01,1.03,8.69,0.8,0.0,0.04,9.76,-0.01,0.01,0.08,180602,5.12
0.94,0.7,-0.68,94.49,2.87,0.01,0.93,2.18,0.24,0.0,0.02,2.82,-0.01,0.01,0.03,178163,2.64
0.78,0.29,1.09,86.79,10.7,0.0,0.83,3.14,0.33,0.01,0.06,3.41,0.04,0.01,0.11,169118,5.89
0.78,,,,,0.01,,,,0.01,0.07,0.0,-0.03,0.01,0.14,43010,8.99
0.86,0.42,-5.66,91.1,12.54,0.01,1.07,4.32,0.51,0.01,0.07,5.43,-0.03,0.01,0.11,231416,7.2
0.93,,,,,0.01,,,,0.01,0.08,0.0,-0.02,0.01,0.12,54512,8.91
0.6,,,,,0.0,,,,0.0,0.03,0.0,-0.07,0.01,0.16,177371,3.94
0.78,0.87,5.69,63.91,8.02,0.0,0.53,12.99,0.65,0.01,0.06,7.74,0.04,0.01,0.11,141641,5.89
0.84,0.31,-0.02,21.5,3.71,0.01,0.6,1.83,0.16,0.0,0.02,1.9,0.0,0.01,0.03,143504,2.51
0.86,0.7,-1.6,86.35,10.6,0.01,0.88,8.07,0.68,0.01,0.07,7.91,-0.03,0.01,0.11,64529,7.2
0.96,0.67,-0.23,97.55,8.74,0.01,1.3,4.36,0.56,0.01,0.04,6.46,-0.01,0.01,0.09,134603,5.95
0.64,0.63,3.49,51.87,14.73,0.01,0.96,9.01,0.84,0.01,0.12,9.43,0.08,0.01,0.16,81557,15.26
0.68,1.0,1.28,43.64,3.16,0.0,0.19,17.1,0.33,0.0,0.05,4.02,-0.02,0.0,0.07,41939,3.54
0.71,0.27,1.17,68.26,11.88,0.0,0.82,3.1,0.33,0.0,0.02,3.34,0.0,0.01,0.15,27503,2.61
0.93,,,,,0.01,,,,0.01,0.08,0.0,-0.02,0.01,0.12,81305,8.91
0.89,-0.18,-3.75,67.85,10.68,0.0,0.73,-3.43,-0.1,0.0,-0.0,-1.71,-0.02,0.01,0.12,124469,0.62
0.55,,,,,0.0,,,,0.0,0.02,0.0,-0.03,0.01,0.09,40463,2.75
0.86,0.44,-5.84,82.96,14.74,0.01,1.2,4.61,0.6,0.01,0.07,6.34,-0.03,0.01,0.11,115064,7.2
0.96,0.55,-0.85,95.35,6.3,0.01,0.92,3.64,0.36,0.0,0.04,4.17,-0.0,0.01,0.07,107531,5.09
0.78,0.5,2.59,81.16,8.28,0.0,0.62,6.23,0.41,0.01,0.06,4.67,0.04,0.01,0.11,134549,5.89
0.52,1.09,0.62,59.72,1.1,0.01,0.3,4.07,0.17,0.0,0.03,2.01,0.0,0.0,0.01,110942,1.45
0.51,,,,,-0.0,,,,-0.0,-0.04,0.0,-0.11,0.01,0.2,120248,-4.25
0.01,0.48,1.18,2.65,2.04,0.01,-0.11,-8.3,0.15,0.0,-0.1,1.75,0.02,-0.0,0.03,64403,2.84
0.7,0.34,-0.41,41.09,4.23,0.01,0.95,1.44,0.19,0.0,0.03,2.17,0.01,0.01,0.04,56501,3.58
0.47,,,,,0.0,,,,0.0,0.02,0.0,-0.01,0.0,0.05,56870,1.36
0.9,0.25,0.64,93.41,11.46,0.0,0.92,2.48,0.31,0.0,0.01,3.09,-0.0,0.01,0.12,124928,2.1
0.89,0.27,-3.25,84.31,8.56,0.01,1.18,1.66,0.26,0.0,0.04,2.77,-0.01,0.01,0.08,121283,5.12
0.93,0.76,-1.29,92.92,10.65,0.01,0.92,8.55,0.74,0.01,0.08,8.66,-0.02,0.01,0.12,207692,8.91
0.96,0.56,-1.34,96.22,9.89,0.01,1.46,3.54,0.52,0.01,0.04,5.97,-0.01,0.01,0.1,49022,6.49
0.16,0.79,4.56,33.36,9.64,0.01,0.5,14.83,0.7,0.01,0.25,8.26,0.06,0.0,0.12,86480,8.87
0.47,-0.03,-2.58,58.97,4.47,0.0,0.52,-0.45,0.06,0.0,0.02,0.57,-0.01,0.0,0.05,146060,1.36
0.86,0.6,-3.37,97.0,11.32,0.01,1.0,6.42,0.63,0.01,0.07,7.2,-0.03,0.01,0.11,28493,7.2
0.6,,,,,0.0,,,,0.0,0.03,0.0,-0.07,0.01,0.16,211967,3.94
0.92,0.69,-0.46,82.25,2.43,0.01,0.74,2.29,0.21,0.0,0.03,2.49,-0.0,0.01,0.03,80900,3.16
0.79,0.38,-5.58,80.32,12.76,0.0,1.02,4.08,0.47,0.01,0.05,4.98,-0.05,0.01,0.13,156221,5.87
0.66,0.05,-0.84,69.54,1.13,0.0,0.31,0.16,0.07,0.0,0.04,0.85,-0.01,0.0,0.01,104768,1.14
0.24,0.56,1.66,7.64,4.51,0.01,0.44,5.65,0.28,0.0,0.0,3.26,0.01,0.0,0.03,225143,2.93
0.96,0.67,-0.16,96.33,7.57,0.01,1.12,4.42,0.49,0.0,0.04,5.74,-0.0,0.01,0.07,228725,5.09
0.03,0.61,2.27,2.7,4.52,0.01,0.26,10.5,0.3,0.0,0.11,3.53,0.02,0.0,0.05,85283,3.45
0.12,1.51,1.43,15.63,1.16,0.01,0.16,11.08,0.21,0.0,-0.13,2.56,0.01,-0.0,0.03,166652,2.04
0.88,1.02,0.31,93.44,7.42,0.01,1.17,6.42,0.66,0.0,0.03,7.96,-0.01,0.01,0.09,129725,5.32
0.89,0.58,-0.64,96.44,5.54,0.01,0.82,3.81,0.33,0.0,0.04,3.92,-0.01,0.01,0.06,28097,3.69
0.84,0.84,0.53,90.43,2.74,0.01,0.91,2.53,0.26,0.0,0.02,3.12,0.0,0.01,0.03,116279,2.51
0.84,0.84,-0.79,88.7,7.2,0.0,1.11,5.37,0.54,0.0,0.02,6.39,-0.03,0.01,0.08,129509,3.01
0.47,0.4,-1.26,68.99,6.87,0.0,0.86,3,0.3,0.0,0.02,3.38,-0.01,0.0,0.05,41192,1.36
0.52,0.6,0.19,48.76,1.53,0.01,0.37,2.46,0.14,0.0,0.03,1.72,0.0,0.0,0.01,83717,1.45
0.84,0.34,-0.87,93.02,2.74,0.01,0.92,0.98,0.14,0.0,0.02,1.7,0.0,0.01,0.03,162098,2.51
0.86,0.71,-1.13,77.46,12.45,0.01,0.98,8.65,0.81,0.01,0.1,9.27,-0.0,0.01,0.13,209645,11.26
0.94,0.36,-1.57,97.73,2.62,0.01,0.86,1.06,0.14,0.0,0.02,1.71,-0.0,0.01,0.03,239507,2.99
0.8,0.61,-2.7,85.75,11.58,0.0,0.96,6.97,0.66,0.01,0.05,7.49,-0.04,0.01,0.13,133406,6.34
0.63,1.41,1.25,15.12,0.72,-0.0,-0.1,-10.51,0.15,0.0,-0.01,1.87,-0.01,0.0,0.01,73556,0.87
0.15,0.99,3.0,18.85,4.29,0.0,0.66,6.55,0.42,0.0,0.05,5.1,0.01,0.01,0.07,140966,3.37
0.89,,,,,0.01,,,,0.0,0.04,0.0,-0.01,0.01,0.08,89675,5.12
0.83,0.26,0.71,90.3,11.53,0.0,0.91,2.55,0.31,0.0,0.03,3.13,0.01,0.01,0.12,206153,3.86
0.84,0.7,0.11,89.3,1.97,0.01,0.65,2.12,0.18,0.0,0.02,2.18,0.0,0.01,0.03,176660,2.51
0.78,,,,,0.0,,,,0.01,0.06,0.0,0.04,0.01,0.11,76067,5.89
0.86,1.03,1.72,94.27,12.27,0.01,1.06,11.85,1.12,0.01,0.1,13.42,-0.0,0.01,0.13,245942,11.26
0.8,,,,,0.0,,,,0.01,0.05,0.0,-0.04,0.01,0.13,26810,6.34
0.52,-0.31,-0.66,51.34,0.84,0.01,0.21,-1.26,0.05,0.0,0.03,0.54,0.0,0.0,0.01,211139,1.45
0.75,-0.49,5.55,66.01,22.13,-0.01,-1.61,7.82,-0.84,-0.01,0.12,-11.75,-0.01,-0.02,0.22,241595,-17.0
0.94,1.14,0.52,94.05,2.57,0.01,0.83,3.58,0.31,0.0,0.02,3.78,-0.0,0.01,0.03,47654,2.99
0.68,0.49,-1.17,88.33,6.8,0.0,0.96,3.3,0.35,0.0,0.03,3.98,-0.02,0.01,0.08,124163,3.06
0.89,0.68,0.68,78.94,11.85,0.01,1.58,4.88,0.74,0.01,0.03,8.53,-0.02,0.02,0.11,179342,5.99
0.93,,,,,0.01,,,,0.01,0.08,0.0,-0.02,0.01,0.12,140642,8.91
0.84,0.95,0.61,88.7,1.98,0.01,0.65,2.9,0.22,0.0,0.02,2.69,0.0,0.01,0.03,178280,2.51
0.8,0.37,-5.53,80.69,12.38,0.0,1.0,3.99,0.45,0.01,0.05,4.77,-0.04,0.01,0.13,148364,6.34
0.14,,,,,0.01,,,,0.0,0.05,0.0,0.0,0.0,0.01,206072,1.18
0.78,0.55,3.93,87.29,11.0,0.0,0.86,6.55,0.57,0.01,0.06,6.41,0.04,0.01,0.11,96623,5.89
0.52,,,,,0.01,,,,0.0,0.03,0.0,0.0,0.0,0.01,146573,1.45
0.84,0.46,-0.62,98.78,2.87,0.01,1.0,1.31,0.18,0.0,0.02,2.11,0.0,0.01,0.03,253178,2.51
0.95,0.54,0.0,58.43,6.32,0.01,0.73,4.51,0.35,0.0,0.04,4.08,-0.01,0.01,0.08,234836,5.56
0.65,0.27,-6.95,73.26,13.67,0.0,1.04,2.74,0.38,0.01,0.04,3.66,-0.06,0.01,0.15,211859,5.62
0.7,0.52,-0.13,71.97,2.37,0.01,0.7,1.75,0.17,0.0,0.03,2.03,0.01,0.01,0.04,216224,3.58
0.89,0.6,-0.73,97.61,7.45,0.01,1.11,3.88,0.44,0.0,0.04,5.1,-0.01,0.01,0.08,130292,5.12
0.86,0.3,-7.48,82.82,14.24,0.01,1.16,2.96,0.43,0.01,0.1,4.23,-0.0,0.01,0.13,215063,11.26
0.7,0.73,1.11,43.16,3.87,0.01,0.89,3.17,0.3,0.0,0.03,3.63,0.01,0.01,0.04,145394,3.58
0.96,,,,,0.01,,,,0.01,0.04,0.0,-0.01,0.01,0.1,184229,6.35
0.65,0.46,-4.87,71.6,15.33,0.0,1.16,5.2,0.65,0.01,0.04,6.83,-0.06,0.01,0.15,124442,5.62
0.78,1.03,2.47,82.05,12.1,0.01,0.98,12.76,1.11,0.01,0.07,13.29,-0.03,0.01,0.14,125837,8.99
0.93,,,,,0.01,,,,0.0,0.05,0.0,0.0,0.01,0.05,82403,4.16
0.95,0.71,0.09,96.42,5.99,0.01,0.88,4.72,0.42,0.0,0.05,4.97,-0.0,0.01,0.05,135215,4.42
0.93,0.88,-0.36,99.98,11.2,0.01,1.0,9.72,0.89,0.01,0.08,10.52,-0.02,0.01,0.12,224900,8.91
0.79,0.46,-5.0,78.85,14.12,0.0,1.12,5.04,0.6,0.01,0.05,6.46,-0.05,0.01,0.13,169595,5.87
0.24,1.26,2.87,0.12,2.22,0.01,-0.03,-105.37,0.3,0.0,0.0,3.65,0.01,0.0,0.03,35693,2.93
0.96,0.65,-0.4,98.17,8.21,0.01,1.22,4.21,0.51,0.01,0.04,5.95,-0.01,0.01,0.09,135638,5.95
0.53,0.56,1.1,70.18,10.52,0.0,0.8,6.99,0.56,0.01,0.07,6.36,0.01,0.01,0.12,86030,6.08
0.52,-0.15,-1.06,84.27,1.38,0.01,0.44,-0.48,0.05,0.0,0.03,0.59,0.0,0.0,0.01,251594,1.45
0.89,0.89,1.59,92.72,7.44,0.01,1.08,6.14,0.62,0.0,0.04,7.41,-0.01,0.01,0.08,187253,5.12
0.65,0.37,-7.22,77.3,16.68,0.01,1.31,3.76,0.58,0.01,0.06,5.73,-0.03,0.01,0.17,123479,8.45
0.95,0.59,-0.97,95.85,9.42,0.01,1.39,3.79,0.53,0.01,0.04,6.05,-0.01,0.01,0.09,199340,6.18
0.65,0.42,-4.99,67.8,14.84,0.0,1.09,4.8,0.58,0.01,0.04,6.05,-0.06,0.01,0.15,104750,5.62
0.94,0.9,-0.15,96.96,2.61,0.01,0.86,2.75,0.26,0.0,0.02,3.16,-0.01,0.01,0.03,42074,2.64
0.71,,,,,0.0,,,,0.0,0.02,0.0,0.0,0.01,0.15,152963,2.61
0.89,,,,,0.01,,,,0.01,0.03,0.0,-0.02,0.02,0.11,37376,5.99
0.94,,,,,0.01,,,,0.0,0.03,0.0,0.0,0.01,0.03,120464,4.08
0.86,0.49,-4.19,91.4,10.97,0.01,0.94,5.27,0.52,0.01,0.07,5.75,-0.03,0.01,0.11,82133,7.2
0.84,0.67,0.21,76.03,2.84,0.01,0.86,2.18,0.23,0.0,0.02,2.69,0.0,0.01,0.03,68489,2.51
0.9,0.07,-1.36,94.39,10.86,0.0,0.88,0.24,0.13,0.0,0.01,1.01,-0.0,0.01,0.12,207053,2.1
0.9,0.62,-1.02,97.0,3.03,0.01,0.99,1.87,0.22,0.0,0.03,2.66,0.0,0.01,0.03,176174,3.83
0.96,0.6,-0.92,96.59,10.03,0.01,1.48,3.86,0.57,0.01,0.04,6.53,-0.01,0.01,0.1,247364,6.35
0.89,,,,,0.01,,,,0.0,0.04,0.0,-0.01,0.01,0.08,243980,5.12
0.97,,,,,0.01,,,,0.01,0.07,0.0,0.0,0.01,0.09,160163,9.53
0.52,0.57,0.02,61.76,0.78,0.01,0.21,2.07,0.1,0.0,0.03,1.24,0.0,0.0,0.01,115721,1.45
0.93,0.84,-0.76,99.97,11.2,0.01,1.0,9.27,0.86,0.01,0.08,10.08,-0.02,0.01,0.12,223091,8.91
0.78,,,,,0.0,,,,0.01,0.06,0.0,0.04,0.01,0.11,120788,5.89
0.7,,,,,0.01,,,,0.0,0.03,0.0,0.01,0.01,0.04,140849,3.58
0.86,,,,,0.01,,,,0.01,0.1,0.0,-0.0,0.01,0.13,176984,11.26
0.28,0.59,4.86,22.73,14.64,0.01,0.63,12.66,0.79,0.01,0.12,8.79,0.04,0.01,0.14,243908,8.29
0.65,0.43,-4.72,62.32,16.26,0.0,1.15,5.13,0.65,0.01,0.04,6.69,-0.06,0.01,0.15,227087,5.62
0.9,0.15,-0.53,95.08,11.46,0.0,0.93,1.2,0.21,0.0,0.01,1.92,-0.0,0.01,0.12,67031,2.1
0.86,1.01,1.6,92.03,12.0,0.01,1.03,11.77,1.08,0.01,0.1,12.91,-0.0,0.01,0.13,118880,11.26
0.47,,,,,0.0,,,,0.0,0.02,0.0,-0.01,0.0,0.05,222191,1.36
0.9,0.16,-0.47,93.4,11.72,0.0,0.94,1.24,0.22,0.0,0.01,1.98,-0.0,0.01,0.12,124910,2.1
0.57,0.34,-1.28,67.68,11.89,0.0,0.88,3.93,0.41,0.0,0.05,4.28,0.0,0.01,0.12,214514,5.43
0.93,,,,,0.01,,,,0.01,0.08,0.0,-0.02,0.01,0.12,235268,8.91
0.34,0.2,2.01,32.25,25.22,0.0,1.19,1.55,0.48,0.0,-0.0,2.65,0.0,0.01,0.28,220922,0.25
0.56,-0.34,-13.87,58.1,18.26,0.0,1.26,-6.09,-0.45,0.0,-0.02,-6.86,-0.08,0.01,0.19,187982,-1.41
0.86,,,,,0.01,,,,0.01,0.1,0.0,-0.0,0.01,0.13,176129,11.26
0.52,0.31,-1.78,62.92,7.65,0.0,2.12,0.99,0.26,0.0,0.01,2.91,-0.01,0.01,0.04,195866,1.43
0.6,,,,,0.0,,,,0.0,0.03,0.0,-0.07,0.01,0.16,216125,3.94
0.78,0.63,6.76,61.27,14.34,0.0,0.93,9,0.82,0.01,0.06,9.21,0.04,0.01,0.11,154943,5.89
0.93,,,,,0.01,,,,0.01,0.08,0.0,-0.02,0.01,0.12,117305,8.91
0.46,,,,,0.0,,,,0.0,0.02,0.0,-0.01,0.01,0.1,194777,1.65
0.92,0.66,-0.78,95.3,2.76,0.01,0.9,2.04,0.22,0.0,0.03,2.63,-0.0,0.01,0.03,150020,3.16
0.89,0.01,-2.41,90.27,12.91,0.0,1.02,-0.72,0.07,0.0,-0.0,0.07,-0.02,0.01,0.12,93959,0.62
0.15,0.35,1.21,8.9,8.01,0.0,0.84,3.08,0.3,0.0,0.05,3.37,0.01,0.01,0.07,221948,3.37
0.71,0.2,0.18,79.77,13.1,0.0,0.97,1.8,0.28,0.0,0.02,2.55,0.0,0.01,0.15,232145,2.61
0.89,0.46,-1.5,93.26,6.79,0.01,0.99,3,0.33,0.0,0.04,3.76,-0.01,0.01,0.08,43460,5.12
0.65,0.36,-5.85,65.26,15.6,0.01,1.13,4.06,0.54,0.01,0.06,5.38,-0.03,0.01,0.17,194669,8.45
0.89,0.51,-0.9,96.66,4.82,0.01,0.71,3.32,0.27,0.0,0.04,3.17,-0.01,0.01,0.06,169721,3.69
0.86,,,,,0.01,,,,0.01,0.07,0.0,-0.03,0.01,0.11,54485,7.2
0.83,0.21,0.2,88.59,11.91,0.0,0.93,1.93,0.27,0.0,0.03,2.6,0.01,0.01,0.12,248813,3.86
0.28,0.34,-2.32,79.0,15.62,0.01,1.26,3.35,0.51,0.01,0.12,5.01,0.04,0.01,0.14,48275,8.29
0.96,0.62,-0.74,97.01,10.02,0.01,1.48,3.99,0.59,0.01,0.04,6.72,-0.01,0.01,0.1,246968,6.35
0.55,0.2,-4.02,59.55,7.89,0.0,0.55,2.32,0.2,0.0,0.02,2.07,-0.03,0.01,0.09,214235,2.75
0.78,0.32,1.84,69.13,12.41,0.0,0.86,3.77,0.4,0.01,0.06,4.05,0.04,0.01,0.11,30815,5.89
0.93,0.9,-0.2,100.0,11.2,0.01,1.0,9.88,0.9,0.01,0.08,10.69,-0.02,0.01,0.12,57383,8.91
0.52,0.47,0.29,6.06,1.01,0.01,0.08,5.41,0.11,0.0,0.03,1.26,0.0,0.0,0.01,194912,1.45
0.1,-0.26,-5.53,8.48,12.12,-0.0,1.23,-3.1,-0.19,-0.0,-0.01,-3.01,-0.03,0.01,0.1,97730,-0.68
0.94,1.05,0.38,94.99,3.5,0.01,1.13,3.28,0.37,0.0,0.03,4.52,-0.0,0.01,0.03,139868,3.88
0.85,0.8,0.34,88.18,2.03,0.0,0.67,2.46,0.2,0.0,0.01,2.45,-0.0,0.01,0.02,104885,1.86
0.8,0.4,-5.46,82.67,12.59,0.0,1.02,4.23,0.48,0.01,0.05,5.13,-0.04,0.01,0.13,178964,6.34
0.68,,,,,0.0,,,,0.0,0.03,0.0,-0.02,0.01,0.08,162008,3.06
0.88,0.62,-0.66,95.41,9.3,0.01,1.36,4.02,0.55,0.0,0.03,6.29,-0.01,0.01,0.09,38753,5.32
0.76,0.68,0.47,54.22,2.83,0.01,0.31,6.16,0.23,0.0,0.04,2.74,-0.0,0.0,0.04,62189,2.81
0.94,0.53,-0.65,88.45,4.97,0.01,0.7,3.66,0.29,0.0,0.04,3.37,-0.0,0.01,0.06,225719,4.58
0.03,0.77,3.4,0.94,4.85,0.01,0.16,22.36,0.38,0.0,0.11,4.49,0.02,0.0,0.05,219743,3.45
0.89,0.67,-0.18,98.18,7.15,0.01,1.07,4.41,0.47,0.0,0.04,5.5,-0.01,0.01,0.08,130877,5.12
0.64,1.12,9.66,70.29,14.66,0.01,1.11,14.96,1.43,0.01,0.12,17.41,0.08,0.01,0.16,92231,15.26
0.52,0.87,0.52,32.23,1.09,0.01,0.21,4.4,0.14,0.0,0.03,1.74,0.0,0.0,0.01,180170,1.45
0.04,,,,,0.0,,,,0.0,-0.09,0.0,-0.0,-0.0,0.05,121382,0.22
0.12,0.57,2.04,1.9,3.06,0.01,-0.15,-11.64,0.21,0.0,-0.13,2.53,0.01,-0.0,0.03,76814,2.04
0.84,0.42,-0.59,87.37,2.73,0.01,0.89,1.26,0.16,0.0,0.02,1.93,0.0,0.01,0.03,182150,2.51
0.84,0.37,-2.1,93.66,6.81,0.0,0.99,2.39,0.28,0.0,0.02,3.17,-0.03,0.01,0.08,155330,3.01
0.03,0.38,2.06,0.84,6.51,0.01,0.21,11,0.27,0.0,0.11,3.1,0.02,0.0,0.05,131237,3.45
0.93,0.57,-3.7,95.32,11.52,0.01,1.0,6.09,0.61,0.01,0.08,6.92,-0.02,0.01,0.12,74051,8.91
0.93,0.82,-0.64,92.93,10.65,0.01,0.92,9.33,0.8,0.01,0.08,9.37,-0.02,0.01,0.12,207719,8.91
0.73,0.11,-0.93,67.65,15.09,0.0,1.03,0.45,0.2,0.0,0.04,1.27,0.02,0.01,0.13,251351,4.23
0.52,0.79,0.16,73.44,0.78,0.01,0.23,2.64,0.12,0.0,0.03,1.41,0.0,0.0,0.01,233459,1.45
0.84,0.1,-4.63,75.58,9.05,0.0,1.18,0.45,0.14,0.0,0.02,1.33,-0.03,0.01,0.08,233207,3.01
0.52,0.24,-2.44,53.39,15.32,0.0,1.01,2.57,0.38,0.01,0.06,3.41,0.01,0.01,0.16,49472,6.69
0.7,,,,,0.01,,,,0.0,0.03,0.0,0.01,0.01,0.04,121814,3.58
0.71,0.22,0.49,73.91,11.94,0.0,0.85,2.24,0.28,0.0,0.02,2.71,0.0,0.01,0.15,28250,2.61
0.89,0.6,-0.7,94.19,8.16,0.01,1.19,3.94,0.47,0.0,0.04,5.5,-0.01,0.01,0.08,161297,5.12
0.65,,,,,0.01,,,,0.01,0.06,0.0,-0.03,0.01,0.17,68228,8.45
0.93,,,,,0.01,,,,0.01,0.08,0.0,-0.02,0.01,0.12,117314,8.91
0.93,0.71,-1.95,94.42,10.84,0.01,0.94,7.84,0.71,0.01,0.08,8.18,-0.02,0.01,0.12,81368,8.91
0.47,,,,,0.0,,,,0.0,0.02,0.0,-0.01,0.0,0.05,202238,1.36
